dataset,rollout_id,case_id,reference_action,reference_resolved,temporal_outcome,accurate,primary_action,primary_action_time,primary_action_capture_order,event_onset,deadline,latency_from_physical_onset
R17,L2RAR2_RGB_CONF_04_882004__C3_stable_hold_clean,C3_stable_hold_clean,none,True,CORRECT_NONE,True,,,,,,
R17,L2RAR2_RGB_CONF_04_882004__C4_stable_hold_camera_jitter,C4_stable_hold_camera_jitter,none,True,CORRECT_NONE,True,,,,,,
R17,L2RAR2_RGB_CONF_04_882004__C5_weld_off_no_force_outcome_control,C5_weld_off_no_force_outcome_control,none,True,CORRECT_NONE,True,,,,,,
R17,L2RAR2_RGB_CONF_04_882004__C6_weak_intervention_outcome,C6_weak_intervention_outcome,none,True,CORRECT_NONE,True,,,,,,
R17,L2RAR2_RGB_CONF_04_882004__C7_medium_intervention_outcome,C7_medium_intervention_outcome,none,True,CORRECT_NONE,True,,,,,,
R17,L2RAR2_RGB_CONF_04_882004__C8_strong_loss_clean,C8_strong_loss_clean,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.500000000000001,34,1.380000000000001,2.130000000000001,0.1200000000000001
R17,L2RAR2_RGB_CONF_04_882004__C9_strong_loss_frame_dropout,C9_strong_loss_frame_dropout,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.500000000000001,34,1.380000000000001,2.130000000000001,0.1200000000000001
R17,L2RAR2_RGB_CONF_05_882005__C10_brief_hold_strong_loss,C10_brief_hold_strong_loss,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,0.9000000000000006,21,0.8300000000000005,1.5800000000000005,0.07000000000000006
R17,L2RAR2_RGB_CONF_05_882005__C11_transport_strong_loss,C11_transport_strong_loss,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.450000000000001,33,1.380000000000001,2.130000000000001,0.07000000000000006
R17,L2RAR2_RGB_CONF_05_882005__C12_commanded_release,C12_commanded_release,none,True,CORRECT_NONE,True,,,,,,
R17,L2RAR2_RGB_CONF_05_882005__C1_hold_request_ends_without_hold,C1_hold_request_ends_without_hold,retry_grasp,True,CORRECT_IN_WINDOW,True,retry_grasp,0.3000000000000001,8,0.3000000000000001,0.8,
R17,L2RAR2_RGB_CONF_05_882005__C2_touch_request_completes_without_hold,C2_touch_request_completes_without_hold,none,True,CORRECT_NONE,True,,,,,,
R17,L2RAR2_RGB_CONF_05_882005__C3_stable_hold_clean,C3_stable_hold_clean,none,True,CORRECT_NONE,True,,,,,,
R17,L2RAR2_RGB_CONF_05_882005__C4_stable_hold_camera_jitter,C4_stable_hold_camera_jitter,none,True,CORRECT_NONE,True,,,,,,
R17,L2RAR2_RGB_CONF_05_882005__C5_weld_off_no_force_outcome_control,C5_weld_off_no_force_outcome_control,none,True,CORRECT_NONE,True,,,,,,
R17,L2RAR2_RGB_CONF_05_882005__C6_weak_intervention_outcome,C6_weak_intervention_outcome,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.450000000000001,33,1.320000000000001,2.070000000000001,0.13000000000000012
R17,L2RAR2_RGB_CONF_05_882005__C7_medium_intervention_outcome,C7_medium_intervention_outcome,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.350000000000001,31,1.260000000000001,2.0100000000000007,0.09000000000000008
R17,L2RAR2_RGB_CONF_05_882005__C8_strong_loss_clean,C8_strong_loss_clean,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.300000000000001,29,1.2300000000000009,1.9800000000000009,0.07000000000000006
R17,L2RAR2_RGB_CONF_05_882005__C9_strong_loss_frame_dropout,C9_strong_loss_frame_dropout,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.300000000000001,29,1.2300000000000009,1.9800000000000009,0.07000000000000006
