budget,repeats,success_mean,failure_mean,spearman_mean,spearman_std,kendall_mean,kendall_std,top_jaccard_mean,top_jaccard_std
5,20,4.0,1.0,0.19942989922144155,0.10268022965902983,0.1381599040139616,0.07235838022085736,0.16051347637704222,0.049860349339809
10,20,7.0,3.0,0.39298025798225866,0.10212882408583225,0.27599258289703316,0.07715401205851573,0.21954309359848048,0.07581298139665872
25,20,18.0,7.0,0.49661279602853814,0.11144567715653213,0.3567135689354276,0.08521150810826139,0.25058433443112216,0.0697096159106994
50,20,36.0,14.0,0.7540294468708462,0.05796447259930933,0.5755126527050611,0.05512715269567686,0.42371793457930024,0.08088468294386783
100,20,71.0,29.0,1.0,0.0,1.0,0.0,1.0,0.0
