model_id,hard_ok,metrics,attempt1_rate_g16,all_attempt_rate_g16,cond_rc1_return,mean_attempts,median_regrasp_s,p90_regrasp_s,n,failures
RG1_TRACK_RECENTER_SINGLE_ATTEMPT,True,"{""G1_LOSS_REGRASP_RETURN_P40"": [0, 6], ""G2_LOSS_REGRASP_RETURN_P80"": [0, 6], ""G3_THREE_REGRASP_RETURN_P40"": [0, 6], ""G4_THREE_REGRASP_RETURN_P80"": [0, 6], ""G5_HIGH_RESIDUAL_SPEED_P40"": [0, 6], ""G6_LOW_FRICTION_LONG_SLIDE_P80"": [0, 6], ""G7_NO_LOSS_INITIAL_GRASP_CONTROL"": [0, 6], ""G8_COMMANDED_RELEASE_NO_REGRASP"": [6, 6]}",0.0,0.0,0.0,0.5277777777777778,,,48,42
RG2_TRACK_RECENTER_ONE_RETRY,True,"{""G1_LOSS_REGRASP_RETURN_P40"": [0, 6], ""G2_LOSS_REGRASP_RETURN_P80"": [0, 6], ""G3_THREE_REGRASP_RETURN_P40"": [0, 6], ""G4_THREE_REGRASP_RETURN_P80"": [0, 6], ""G5_HIGH_RESIDUAL_SPEED_P40"": [0, 6], ""G6_LOW_FRICTION_LONG_SLIDE_P80"": [0, 6], ""G7_NO_LOSS_INITIAL_GRASP_CONTROL"": [0, 6], ""G8_COMMANDED_RELEASE_NO_REGRASP"": [6, 6]}",0.0,0.0,0.0,1.0555555555555556,,,48,42
