job_id,task_id,method,policy_seed,output_dir,command,gpu,exit_code,wall_seconds,status
transport_recovery__pathgraph_reward_v1_locked__s20260910,transport_recovery,pathgraph_reward_v1_locked,20260910,artifacts/pathgraph_sarm/stage6/policy_training_v1/jobs/transport_recovery__pathgraph_reward_v1_locked__s20260910,"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_recovery --method pathgraph_reward_v1_locked --policy-seed 20260910 --config configs/stage6/stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/pathgraph_reward_v1_locked.parquet --init-checkpoint artifacts/pathgraph_sarm/stage6/policy_protocol_v1/initializations/transport_recovery/seed_20260910/init.pt --output-dir artifacts/pathgraph_sarm/stage6/policy_training_v1/jobs/transport_recovery__pathgraph_reward_v1_locked__s20260910 --max-optimizer-steps 2000 --device cuda:0",7,0,11.012,PASS
transport_recovery__linear_sarm_equiv__s20260910,transport_recovery,linear_sarm_equiv,20260910,artifacts/pathgraph_sarm/stage6/policy_training_v1/jobs/transport_recovery__linear_sarm_equiv__s20260910,"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_recovery --method linear_sarm_equiv --policy-seed 20260910 --config configs/stage6/stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/linear_sarm_equiv.parquet --init-checkpoint artifacts/pathgraph_sarm/stage6/policy_protocol_v1/initializations/transport_recovery/seed_20260910/init.pt --output-dir artifacts/pathgraph_sarm/stage6/policy_training_v1/jobs/transport_recovery__linear_sarm_equiv__s20260910 --max-optimizer-steps 2000 --device cuda:0",5,0,12.019,PASS
transport_recovery__linear_sarm_equiv__s20260909,transport_recovery,linear_sarm_equiv,20260909,artifacts/pathgraph_sarm/stage6/policy_training_v1/jobs/transport_recovery__linear_sarm_equiv__s20260909,"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_recovery --method linear_sarm_equiv --policy-seed 20260909 --config configs/stage6/stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/linear_sarm_equiv.parquet --init-checkpoint artifacts/pathgraph_sarm/stage6/policy_protocol_v1/initializations/transport_recovery/seed_20260909/init.pt --output-dir artifacts/pathgraph_sarm/stage6/policy_training_v1/jobs/transport_recovery__linear_sarm_equiv__s20260909 --max-optimizer-steps 2000 --device cuda:0",1,0,12.527,PASS
transport_recovery__bc_all__s20260909,transport_recovery,bc_all,20260909,artifacts/pathgraph_sarm/stage6/policy_training_v1/jobs/transport_recovery__bc_all__s20260909,"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_recovery --method bc_all --policy-seed 20260909 --config configs/stage6/stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/bc_all.parquet --init-checkpoint artifacts/pathgraph_sarm/stage6/policy_protocol_v1/initializations/transport_recovery/seed_20260909/init.pt --output-dir artifacts/pathgraph_sarm/stage6/policy_training_v1/jobs/transport_recovery__bc_all__s20260909 --max-optimizer-steps 2000 --device cuda:0",0,0,13.032,PASS
transport_recovery__sequential_transition__s20260909,transport_recovery,sequential_transition,20260909,artifacts/pathgraph_sarm/stage6/policy_training_v1/jobs/transport_recovery__sequential_transition__s20260909,"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_recovery --method sequential_transition --policy-seed 20260909 --config configs/stage6/stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/sequential_transition.parquet --init-checkpoint artifacts/pathgraph_sarm/stage6/policy_protocol_v1/initializations/transport_recovery/seed_20260909/init.pt --output-dir artifacts/pathgraph_sarm/stage6/policy_training_v1/jobs/transport_recovery__sequential_transition__s20260909 --max-optimizer-steps 2000 --device cuda:0",2,0,13.029,PASS
transport_recovery__bc_all__s20260910,transport_recovery,bc_all,20260910,artifacts/pathgraph_sarm/stage6/policy_training_v1/jobs/transport_recovery__bc_all__s20260910,"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_recovery --method bc_all --policy-seed 20260910 --config configs/stage6/stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/bc_all.parquet --init-checkpoint artifacts/pathgraph_sarm/stage6/policy_protocol_v1/initializations/transport_recovery/seed_20260910/init.pt --output-dir artifacts/pathgraph_sarm/stage6/policy_training_v1/jobs/transport_recovery__bc_all__s20260910 --max-optimizer-steps 2000 --device cuda:0",4,0,14.531,PASS
transport_recovery__pathgraph_reward_v1_locked__s20260909,transport_recovery,pathgraph_reward_v1_locked,20260909,artifacts/pathgraph_sarm/stage6/policy_training_v1/jobs/transport_recovery__pathgraph_reward_v1_locked__s20260909,"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_recovery --method pathgraph_reward_v1_locked --policy-seed 20260909 --config configs/stage6/stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/pathgraph_reward_v1_locked.parquet --init-checkpoint artifacts/pathgraph_sarm/stage6/policy_protocol_v1/initializations/transport_recovery/seed_20260909/init.pt --output-dir artifacts/pathgraph_sarm/stage6/policy_training_v1/jobs/transport_recovery__pathgraph_reward_v1_locked__s20260909 --max-optimizer-steps 2000 --device cuda:0",3,0,24.047,PASS
transport_recovery__bc_all__s20260911,transport_recovery,bc_all,20260911,artifacts/pathgraph_sarm/stage6/policy_training_v1/jobs/transport_recovery__bc_all__s20260911,"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_recovery --method bc_all --policy-seed 20260911 --config configs/stage6/stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/bc_all.parquet --init-checkpoint artifacts/pathgraph_sarm/stage6/policy_protocol_v1/initializations/transport_recovery/seed_20260911/init.pt --output-dir artifacts/pathgraph_sarm/stage6/policy_training_v1/jobs/transport_recovery__bc_all__s20260911 --max-optimizer-steps 2000 --device cuda:0",7,0,13.53,PASS
transport_recovery__sequential_transition__s20260910,transport_recovery,sequential_transition,20260910,artifacts/pathgraph_sarm/stage6/policy_training_v1/jobs/transport_recovery__sequential_transition__s20260910,"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_recovery --method sequential_transition --policy-seed 20260910 --config configs/stage6/stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/sequential_transition.parquet --init-checkpoint artifacts/pathgraph_sarm/stage6/policy_protocol_v1/initializations/transport_recovery/seed_20260910/init.pt --output-dir artifacts/pathgraph_sarm/stage6/policy_training_v1/jobs/transport_recovery__sequential_transition__s20260910 --max-optimizer-steps 2000 --device cuda:0",6,0,26.05,PASS
transport_recovery__linear_sarm_equiv__s20260911,transport_recovery,linear_sarm_equiv,20260911,artifacts/pathgraph_sarm/stage6/policy_training_v1/jobs/transport_recovery__linear_sarm_equiv__s20260911,"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_recovery --method linear_sarm_equiv --policy-seed 20260911 --config configs/stage6/stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/linear_sarm_equiv.parquet --init-checkpoint artifacts/pathgraph_sarm/stage6/policy_protocol_v1/initializations/transport_recovery/seed_20260911/init.pt --output-dir artifacts/pathgraph_sarm/stage6/policy_training_v1/jobs/transport_recovery__linear_sarm_equiv__s20260911 --max-optimizer-steps 2000 --device cuda:0",7,0,15.035,PASS
