pid, gpu_uuid, gpu_bus_id, gpu_name, used_gpu_memory [MiB]
3518923, GPU-4120c94f-c9c2-6653-a0ec-41957aa85822, 00000000:14:00.0, NVIDIA A100-SXM4-40GB, 10274 MiB
3602657, GPU-4120c94f-c9c2-6653-a0ec-41957aa85822, 00000000:14:00.0, NVIDIA A100-SXM4-40GB, 922 MiB
3704031, GPU-4120c94f-c9c2-6653-a0ec-41957aa85822, 00000000:14:00.0, NVIDIA A100-SXM4-40GB, 7494 MiB
3707458, GPU-4120c94f-c9c2-6653-a0ec-41957aa85822, 00000000:14:00.0, NVIDIA A100-SXM4-40GB, 6664 MiB
3019715, GPU-61a23cf4-84c2-e7d3-596e-438966258945, 00000000:15:00.0, NVIDIA A100-SXM4-40GB, 8994 MiB
3541541, GPU-61a23cf4-84c2-e7d3-596e-438966258945, 00000000:15:00.0, NVIDIA A100-SXM4-40GB, 18206 MiB
2910779, GPU-eb22e795-17aa-d14d-4ed6-dff343fbaaeb, 00000000:18:00.0, NVIDIA A100-SXM4-40GB, 27608 MiB
3609120, GPU-eb22e795-17aa-d14d-4ed6-dff343fbaaeb, 00000000:18:00.0, NVIDIA A100-SXM4-40GB, 5862 MiB
1725041, GPU-ac34f6d2-4fea-acf3-1f89-766dfa2bbaf7, 00000000:1D:00.0, NVIDIA A100-SXM4-40GB, 7482 MiB
2706957, GPU-ac34f6d2-4fea-acf3-1f89-766dfa2bbaf7, 00000000:1D:00.0, NVIDIA A100-SXM4-40GB, 26470 MiB
2491673, GPU-dc70602e-3b9d-ab0a-ee9c-d3a900565ca4, 00000000:1E:00.0, NVIDIA A100-SXM4-40GB, 36848 MiB
2910780, GPU-1f8161f4-7f19-0357-a0c7-fb7f6e5fd384, 00000000:21:00.0, NVIDIA A100-SXM4-40GB, 16450 MiB
3602658, GPU-1f8161f4-7f19-0357-a0c7-fb7f6e5fd384, 00000000:21:00.0, NVIDIA A100-SXM4-40GB, 1136 MiB
3707454, GPU-1f8161f4-7f19-0357-a0c7-fb7f6e5fd384, 00000000:21:00.0, NVIDIA A100-SXM4-40GB, 6664 MiB
3734698, GPU-1f8161f4-7f19-0357-a0c7-fb7f6e5fd384, 00000000:21:00.0, NVIDIA A100-SXM4-40GB, 3426 MiB
2491674, GPU-dd290d6b-aa94-38e2-8dd5-9d1c76287408, 00000000:25:00.0, NVIDIA A100-SXM4-40GB, 36848 MiB
2491675, GPU-71e35dc1-6901-b158-8674-68043fafa2b1, 00000000:2D:00.0, NVIDIA A100-SXM4-40GB, 36848 MiB
