episode_id,family_id,case_id,rollout_seed,model_id,return_controller_id,regrasp_invocations,notes,dest,regrasp_confirmed,attempt1,nret,need,case_pass,hard_ok,regrasp_time,n_attempts
P1V6RG1_980101_G6_LOW_FRICTION_LONG_SLIDE_P80_98110105_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980101,G6_LOW_FRICTION_LONG_SLIDE_P80,98110105,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,1,"[""loop0_regrasp_failed"", ""cycles_complete=0""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980101/G6_LOW_FRICTION_LONG_SLIDE_P80/rollout_00,False,False,0,1,False,True,,1
P1V6RG1_980101_G7_NO_LOSS_INITIAL_GRASP_CONTROL_98110106_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980101,G7_NO_LOSS_INITIAL_GRASP_CONTROL,98110106,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,0,[],/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980101/G7_NO_LOSS_INITIAL_GRASP_CONTROL/rollout_00,False,False,1,1,True,True,,0
P1V6RG1_980101_G8_COMMANDED_RELEASE_NO_REGRASP_98110107_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980101,G8_COMMANDED_RELEASE_NO_REGRASP,98110107,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,0,"[""closed_loop_regrasp_not_started""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980101/G8_COMMANDED_RELEASE_NO_REGRASP/rollout_00,False,False,0,1,True,True,,0
P1V6RG1_980102_G1_LOSS_REGRASP_RETURN_P40_98110200_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980102,G1_LOSS_REGRASP_RETURN_P40,98110200,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,1,"[""cycles_complete=1""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980102/G1_LOSS_REGRASP_RETURN_P40/rollout_00,True,True,1,1,True,True,2.5799999999997163,1
P1V6RG1_980102_G2_LOSS_REGRASP_RETURN_P80_98110201_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980102,G2_LOSS_REGRASP_RETURN_P80,98110201,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,1,"[""cycles_complete=1""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980102/G2_LOSS_REGRASP_RETURN_P80/rollout_00,True,True,1,1,True,True,2.5599999999997185,1
P1V6RG1_980102_G3_THREE_REGRASP_RETURN_P40_98110202_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980102,G3_THREE_REGRASP_RETURN_P40,98110202,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,3,"[""cycles_complete=3""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980102/G3_THREE_REGRASP_RETURN_P40/rollout_00,True,True,3,3,True,True,2.5799999999997163,3
P1V6RG1_980102_G4_THREE_REGRASP_RETURN_P80_98110203_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980102,G4_THREE_REGRASP_RETURN_P80,98110203,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,3,"[""cycles_complete=3""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980102/G4_THREE_REGRASP_RETURN_P80/rollout_00,True,True,3,3,True,True,2.5599999999997185,3
P1V6RG1_980102_G5_HIGH_RESIDUAL_SPEED_P40_98110204_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980102,G5_HIGH_RESIDUAL_SPEED_P40,98110204,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,1,"[""cycles_complete=1""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980102/G5_HIGH_RESIDUAL_SPEED_P40/rollout_00,True,True,1,1,True,True,2.919999999999679,1
P1V6RG1_980102_G6_LOW_FRICTION_LONG_SLIDE_P80_98110205_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980102,G6_LOW_FRICTION_LONG_SLIDE_P80,98110205,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,1,"[""cycles_complete=1""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980102/G6_LOW_FRICTION_LONG_SLIDE_P80/rollout_00,True,True,1,1,True,True,2.5599999999997185,1
P1V6RG1_980102_G7_NO_LOSS_INITIAL_GRASP_CONTROL_98110206_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980102,G7_NO_LOSS_INITIAL_GRASP_CONTROL,98110206,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,0,[],/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980102/G7_NO_LOSS_INITIAL_GRASP_CONTROL/rollout_00,False,False,1,1,True,True,,0
