method,config_name,selection_split,test_used_for_selection,selection_score,causal,offline_noncausal
multivariate_change_point,multivariate_change_point_05,val,False,0.386402879312628,False,True
sensor_hysteresis,sensor_hysteresis_01,val,False,0.664744351132762,True,False
uniform,uniform_00,val,False,0.6185208971371191,True,False
