variant_id,role,eta,beta,legal_path_normalized_gap,A_first_return,B_first_return,alternate_path_negative_rate,forward_positive_rate,reward_nonzero_rate,failure_negative_rate,recovery_positive_rate,recovery_positive_weight_coverage,recovery_cycle_nonpositive_rate,positive_loop_rate,loop_return_mean,recovery_overshoot_rate,success_return_spearman,success_minus_failure_return_margin,fixed_order_score_drop,within_node_reward_density,provenance
full_locked,,,,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,0.0,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,mixed_explicit
collapse_alternative_to_A_first,,,,0.3,1.0,0.7,0.4,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,0.0,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,mixed_explicit
collapse_alternative_to_B_first,,,,0.3,0.7,1.0,0.4,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,0.0,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,mixed_explicit
remove_recovery_edge,,,,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.0,0.0,0.85,0.0,0.0,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,mixed_explicit
no_recovery_debt_cap,,,,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,1.0,1.0,1.0,0.05,0.0,0.2,0.5651310178784871,0.2652299806061711,0.0,0.5,mixed_explicit
no_phi,,,,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,0.0,0.0,0.5,0.2,0.0,0.4,mixed_explicit
cost_only,,,,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,0.0,0.0,0.4132435773575912,6.91e-05,0.0,0.2,mixed_explicit
eta_probe_0.00,posthoc_probe_not_main,0.0,,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,-0.0,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,mixed_explicit
eta_probe_0.05,posthoc_probe_not_main,0.05,,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,-0.005000000000000001,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,mixed_explicit
eta_probe_0.10,posthoc_probe_not_main,0.1,,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,-0.010000000000000002,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,mixed_explicit
eta_probe_0.25,posthoc_probe_not_main,0.25,,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,-0.025,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,mixed_explicit
beta_probe_0.0,posthoc_probe_not_main,,0.0,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,0.0,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,mixed_explicit
beta_probe_0.5,posthoc_probe_not_main,,0.5,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,0.0,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,mixed_explicit
beta_probe_1.0,posthoc_probe_not_main,,1.0,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,0.0,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,mixed_explicit
