method,input_tier,rollout_id,root_family_id,time,capture_order,h,r,e,cos,rho,evidence_valid,evidence_duration
O_B2,O,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_00_840000,0.05,0,,,,,,False,0.0
O_B2,O,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_00_840000,0.1,1,,,,0.3565355657696595,0.5758851457051918,True,0.0
O_B2,O,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_00_840000,0.15,3,,,,,,True,0.0
O_B2,O,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_00_840000,0.2,4,,,,0.9564762564351754,0.5218408880679308,True,0.0
O_B2,O,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_00_840000,0.25,5,,,,-0.7170752761177023,0.9367739579515717,True,0.0
O_B2,O,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_00_840000,0.3,6,,,,0.735311663607021,0.36548459177681086,True,0.0
O_B2,O,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_00_840000,0.35,8,,,,0.6968812515294125,0.842662830615268,True,0.0
O_B2,O,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_00_840000,0.4,9,,,,,,True,0.0
O_B2,O,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_00_840000,0.45,11,,,,,,True,0.0
O_C3,O,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_00_840000,0.05,0,,,,,,False,0.0
O_C3,O,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_00_840000,0.1,1,,,,0.3565355657696595,0.5758851457051918,True,0.0
O_C3,O,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_00_840000,0.15,3,,,,,,True,0.0
O_C3,O,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_00_840000,0.2,4,,,,0.9564762564351754,0.5218408880679308,True,0.0
O_C3,O,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_00_840000,0.25,5,,,,-0.7170752761177023,0.9367739579515717,True,0.0
O_C3,O,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_00_840000,0.3,6,,,,0.735311663607021,0.36548459177681086,True,0.0
O_C3,O,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_00_840000,0.35,8,,,,0.6968812515294125,0.842662830615268,True,0.0
O_C3,O,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_00_840000,0.4,9,,,,,,True,0.0
O_C3,O,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_00_840000,0.45,11,,,,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_00_840000,0.05,0,0.0,"[0.0, 0.25, -0.21935749999999987]",,,,False,0.0
