handle,kind,raw_id,split,support_root_families
C00,cluster,0,train,8
C01,cluster,1,train,35
C02,cluster,2,train,70
C03,cluster,3,train,79
C04,cluster,4,train,35
C05,cluster,5,train,54
C06,cluster,6,train,35
C07,cluster,7,train,35
C08,cluster,8,train,28
C09,cluster,9,train,35
C10,cluster,10,train,14
T000,transition,3->5,train,42
T001,transition,9->2,train,35
T002,transition,6->2,train,35
T003,transition,1->6,train,35
T004,transition,4->7,train,35
T005,transition,7->9,train,35
T006,transition,5->4,train,34
T007,transition,4->9,train,30
T008,transition,3->1,train,28
T009,transition,6->6,train,26
T010,transition,3->8,train,23
T011,transition,9->9,train,22
T012,transition,1->1,train,19
T013,transition,5->5,train,16
T014,transition,8->1,train,14
T015,transition,10->5,train,12
T016,transition,8->5,train,11
T017,transition,8->4,train,10
T018,transition,10->3,train,9
T019,transition,0->0,train,8
T020,transition,8->0,train,8
T021,transition,10->1,train,7
T022,transition,3->4,train,6
T023,transition,5->1,train,5
T024,transition,8->6,train,5
T025,transition,1->8,train,4
T026,transition,3->6,train,3
T027,transition,6->1,train,3
T028,transition,5->8,train,1
T029,transition,4->4,train,1
F000,fallback,formal_u2_family_001_r00:t002,train,1
F001,fallback,formal_u2_family_001_r01:t002,train,1
F002,fallback,formal_u2_family_004_r01:t005,train,1
F003,fallback,formal_u2_family_007_r04:t001,train,1
F004,fallback,formal_u2_family_009_r04:t001,train,1
F005,fallback,formal_u2_family_012_r01:t005,train,1
F006,fallback,formal_u2_family_014_r00:t001,train,1
F007,fallback,formal_u2_family_015_r02:t024,train,1
F008,fallback,formal_u2_family_023_r01:t005,train,1
F009,fallback,formal_u2_family_023_r01:t034,train,1
F010,fallback,formal_u2_family_024_r01:t002,train,1
F011,fallback,formal_u2_family_025_r01:t029,train,1
F012,fallback,formal_u2_family_029_r03:t009,train,1
F013,fallback,formal_u2_family_032_r03:t001,train,1
F014,fallback,formal_u2_family_036_r02:t002,train,1
F015,fallback,formal_u2_family_037_r01:t008,train,1
F016,fallback,formal_u2_family_038_r00:t003,train,1
F017,fallback,formal_u2_family_040_r03:t001,train,1
F018,fallback,formal_u2_family_050_r03:t005,train,1
F019,fallback,formal_u2_family_053_r04:t009,train,1
F020,fallback,formal_u2_family_054_r05:t022,train,1
F021,fallback,formal_u2_family_055_r00:t002,train,1
F022,fallback,formal_u2_family_060_r01:t025,train,1
F023,fallback,formal_u2_family_061_r04:t005,train,1
F024,fallback,formal_u2_family_062_r01:t002,train,1
F025,fallback,formal_u2_family_062_r02:t005,train,1
F026,fallback,formal_u2_family_065_r02:t010,train,1
F027,fallback,formal_u2_family_068_r00:t006,train,1
F028,fallback,formal_u2_family_073_r05:t005,train,1
F029,fallback,formal_u2_family_080_r04:t025,train,1
