artifact_role	path	sha256	retention
R24_source_data	/home/__compress_data/xushijie/graph_l2ra_r2_r24_observation_boundary_v1_data/confirmation	EXTERNAL_NOT_COPIED	read_only
R25_source_data	/home/__compress_data/xushijie/graph_l2ra_r2_r25_observability_recovery_v1_data/confirmation	EXTERNAL_NOT_COPIED	read_only
R26_zero_physics_features	../separability_v1	SEE_PACKAGE_MANIFEST	git_retained
R26_results_zip	downloads/l2ra_r2_v1/L2RAR2_R26_Normalized_Observability_Fusion_V1_results.zip	5e37b72a9391b2ab316424d25cbb440ee94cb558d319b7130c1612ffe9a48451	git_retained
