label,level_id,execution_valid,pre_hold_verified,numeric_health_pass,physical_loss_confirmed,selected,failure_reason
primary_control,None,True,True,True,False,False,WELD_OFF_CONTACT_SUPPORTED
I1,I1,True,True,True,False,False,WELD_OFF_CONTACT_SUPPORTED
I2,I2,True,True,True,False,False,WELD_OFF_CONTACT_SUPPORTED
I3,I3,True,True,True,False,False,WELD_OFF_CONTACT_SUPPORTED
E2_diag40_d0p20,E2_diag40_d0p20,True,True,True,True,True,None
