timestamp,index,memory_used_mib,memory_total_mib,utilization_gpu_percent
2026-07-21 02:28:21,0,40308,40960,25
2026-07-21 02:28:21,1,8529,40960,24
2026-07-21 02:28:21,2,15685,40960,39
2026-07-21 02:28:21,3,25648,40960,0
2026-07-21 02:28:21,4,40260,40960,34
2026-07-21 02:28:21,5,20347,40960,0
2026-07-21 02:28:21,6,36030,40960,0
2026-07-21 02:28:21,7,33443,40960,28
2026-07-21 02:28:22,0,40228,40960,35
2026-07-21 02:28:22,1,8529,40960,0
2026-07-21 02:28:22,2,15685,40960,39
2026-07-21 02:28:22,3,25648,40960,33
2026-07-21 02:28:22,4,40260,40960,39
2026-07-21 02:28:22,5,20347,40960,0
2026-07-21 02:28:22,6,36030,40960,0
2026-07-21 02:28:22,7,33443,40960,29
2026-07-21 02:28:23,0,40228,40960,30
2026-07-21 02:28:23,1,8529,40960,4
2026-07-21 02:28:23,2,15685,40960,5
2026-07-21 02:28:23,3,25648,40960,4
2026-07-21 02:28:23,4,40260,40960,9
2026-07-21 02:28:23,5,20347,40960,0
2026-07-21 02:28:23,6,36030,40960,0
2026-07-21 02:28:23,7,33443,40960,13
2026-07-21 02:28:24,0,40228,40960,0
2026-07-21 02:28:24,1,8529,40960,0
2026-07-21 02:28:24,2,15685,40960,18
2026-07-21 02:28:24,3,25648,40960,39
2026-07-21 02:28:24,4,40260,40960,0
2026-07-21 02:28:24,5,20347,40960,0
2026-07-21 02:28:24,6,36030,40960,0
2026-07-21 02:28:24,7,33443,40960,11
2026-07-21 02:28:25,0,40228,40960,0
2026-07-21 02:28:25,1,8529,40960,7
2026-07-21 02:28:25,2,15685,40960,2
2026-07-21 02:28:25,3,25648,40960,1
2026-07-21 02:28:25,4,40260,40960,0
2026-07-21 02:28:25,5,20347,40960,0
2026-07-21 02:28:25,6,36030,40960,0
2026-07-21 02:28:25,7,33443,40960,11
2026-07-21 02:28:26,0,40228,40960,0
2026-07-21 02:28:26,1,8529,40960,24
2026-07-21 02:28:26,2,15685,40960,0
2026-07-21 02:28:26,3,25648,40960,1
2026-07-21 02:28:26,4,40260,40960,0
2026-07-21 02:28:26,5,20347,40960,0
2026-07-21 02:28:26,6,36030,40960,0
2026-07-21 02:28:26,7,33443,40960,0
2026-07-21 02:28:27,0,40228,40960,5
2026-07-21 02:28:27,1,8529,40960,14
2026-07-21 02:28:27,2,15685,40960,0
2026-07-21 02:28:27,3,25648,40960,0
2026-07-21 02:28:27,4,40260,40960,0
2026-07-21 02:28:27,5,20347,40960,0
2026-07-21 02:28:27,6,36030,40960,0
2026-07-21 02:28:27,7,33443,40960,3
2026-07-21 02:28:29,0,40228,40960,0
2026-07-21 02:28:29,1,8529,40960,2
2026-07-21 02:28:29,2,15685,40960,7
2026-07-21 02:28:29,3,25648,40960,18
2026-07-21 02:28:29,4,40260,40960,0
2026-07-21 02:28:29,5,20347,40960,0
2026-07-21 02:28:29,6,36030,40960,0
2026-07-21 02:28:29,7,33443,40960,2
2026-07-21 02:28:30,0,40228,40960,39
2026-07-21 02:28:30,1,8529,40960,0
2026-07-21 02:28:30,2,15685,40960,16
2026-07-21 02:28:30,3,25648,40960,0
2026-07-21 02:28:30,4,40260,40960,36
2026-07-21 02:28:30,5,20347,40960,0
2026-07-21 02:28:30,6,36030,40960,0
2026-07-21 02:28:30,7,33443,40960,5
2026-07-21 02:28:31,0,40228,40960,37
2026-07-21 02:28:31,1,8529,40960,0
2026-07-21 02:28:31,2,15685,40960,20
2026-07-21 02:28:31,3,25648,40960,0
2026-07-21 02:28:31,4,40260,40960,24
2026-07-21 02:28:31,5,20347,40960,0
2026-07-21 02:28:31,6,36030,40960,0
2026-07-21 02:28:31,7,33443,40960,4
2026-07-21 02:28:32,0,40228,40960,0
2026-07-21 02:28:32,1,8529,40960,16
2026-07-21 02:28:32,2,15685,40960,8
2026-07-21 02:28:32,3,25648,40960,0
2026-07-21 02:28:32,4,40260,40960,0
2026-07-21 02:28:32,5,20347,40960,0
2026-07-21 02:28:32,6,36030,40960,0
2026-07-21 02:28:32,7,33443,40960,2
2026-07-21 02:28:33,0,40228,40960,7
2026-07-21 02:28:33,1,8529,40960,16
2026-07-21 02:28:33,2,15685,40960,37
2026-07-21 02:28:33,3,25648,40960,16
2026-07-21 02:28:33,4,40260,40960,0
2026-07-21 02:28:33,5,20347,40960,0
2026-07-21 02:28:33,6,36030,40960,0
2026-07-21 02:28:33,7,33443,40960,16
2026-07-21 02:28:34,0,40228,40960,4
2026-07-21 02:28:34,1,8529,40960,0
2026-07-21 02:28:34,2,15685,40960,0
2026-07-21 02:28:34,3,25648,40960,1
2026-07-21 02:28:34,4,40260,40960,34
2026-07-21 02:28:34,5,20347,40960,0
2026-07-21 02:28:34,6,36030,40960,19
2026-07-21 02:28:34,7,33443,40960,18
2026-07-21 02:28:35,0,40340,40960,44
2026-07-21 02:28:35,1,8529,40960,40
2026-07-21 02:28:35,2,15685,40960,0
