timestamp,physical_gpu,visible_device,total_used_mib,total_mib,utilization_gpu_percent,train_pid_used_mib
2026-07-21 10:03:11,1,0,7712,40960,40,0
2026-07-21 10:03:13,1,0,7712,40960,12,0
2026-07-21 10:03:15,1,0,7712,40960,0,0
2026-07-21 10:03:17,1,0,7712,40960,7,0
2026-07-21 10:03:20,1,0,7712,40960,13,0
2026-07-21 10:03:22,1,0,7712,40960,2,0
2026-07-21 10:03:24,1,0,7712,40960,16,0
2026-07-21 10:03:26,1,0,8209,40960,34,520
2026-07-21 10:03:28,1,0,8803,40960,50,1114
2026-07-21 10:03:30,1,0,9495,40960,8,1778
2026-07-21 10:03:33,1,0,9495,40960,43,1778
2026-07-21 10:03:35,1,0,9495,40960,52,1778
2026-07-21 10:03:37,1,0,9495,40960,23,1778
2026-07-21 10:03:39,1,0,9495,40960,47,1778
2026-07-21 10:03:41,1,0,9495,40960,14,1778
2026-07-21 10:03:43,1,0,10194,40960,2,1778
2026-07-21 10:03:46,1,0,11248,40960,65,1778
2026-07-21 10:03:48,1,0,11248,40960,42,1778
2026-07-21 10:03:50,1,0,11248,40960,11,1778
2026-07-21 10:03:52,1,0,11248,40960,47,1778
2026-07-21 10:03:54,1,0,11248,40960,31,1778
2026-07-21 10:03:57,1,0,11248,40960,23,1778
2026-07-21 10:03:59,1,0,11248,40960,29,1778
2026-07-21 10:04:01,1,0,11248,40960,64,1778
2026-07-21 10:04:03,1,0,11248,40960,28,1778
2026-07-21 10:04:05,1,0,11248,40960,17,1778
2026-07-21 10:04:07,1,0,11248,40960,27,1778
2026-07-21 10:04:10,1,0,11248,40960,27,1778
2026-07-21 10:04:12,1,0,11248,40960,21,1778
2026-07-21 10:04:14,1,0,11248,40960,18,1778
2026-07-21 10:04:16,1,0,11248,40960,40,1778
2026-07-21 10:04:18,1,0,11248,40960,46,1778
2026-07-21 10:04:21,1,0,11248,40960,3,1778
2026-07-21 10:04:23,1,0,11248,40960,17,1778
2026-07-21 10:04:25,1,0,11248,40960,32,1778
2026-07-21 10:04:27,1,0,11248,40960,31,1778
2026-07-21 10:04:29,1,0,11248,40960,21,1778
