timestamp,physical_gpu,visible_device,total_used_mib,total_mib,utilization_gpu_percent,train_pid_used_mib
2026-07-21 09:45:14,1,0,7712,40960,0,0
2026-07-21 09:45:16,1,0,7712,40960,0,0
2026-07-21 09:45:18,1,0,7712,40960,0,0
2026-07-21 09:45:20,1,0,7712,40960,12,0
2026-07-21 09:45:23,1,0,7712,40960,0,0
2026-07-21 09:45:25,1,0,7712,40960,2,0
2026-07-21 09:45:27,1,0,7712,40960,39,0
2026-07-21 09:45:29,1,0,7712,40960,40,0
2026-07-21 09:45:31,1,0,7712,40960,40,0
2026-07-21 09:45:34,1,0,7712,40960,0,0
2026-07-21 09:45:36,1,0,7712,40960,40,0
2026-07-21 09:45:38,1,0,7712,40960,4,0
2026-07-21 09:45:40,1,0,7712,40960,39,0
2026-07-21 09:45:42,1,0,8137,40960,0,492
2026-07-21 09:45:45,1,0,8267,40960,6,552
2026-07-21 09:45:47,1,0,8375,40960,9,664
2026-07-21 09:45:49,1,0,8511,40960,0,794
2026-07-21 09:45:51,1,0,8715,40960,4,1010
2026-07-21 09:45:53,1,0,9219,40960,9,1516
2026-07-21 09:45:55,1,0,9495,40960,74,1778
2026-07-21 09:45:58,1,0,9495,40960,27,1778
2026-07-21 09:46:00,1,0,9495,40960,69,1778
2026-07-21 09:46:02,1,0,9495,40960,25,1778
2026-07-21 09:46:04,1,0,9495,40960,24,1778
2026-07-21 09:46:06,1,0,9495,40960,3,1778
2026-07-21 09:46:09,1,0,9495,40960,0,1778
2026-07-21 09:46:11,1,0,11248,40960,31,1778
2026-07-21 09:46:14,1,0,11248,40960,7,1778
2026-07-21 09:46:16,1,0,11248,40960,17,1778
2026-07-21 09:46:18,1,0,11248,40960,31,1778
2026-07-21 09:46:20,1,0,11248,40960,20,1778
2026-07-21 09:46:22,1,0,11248,40960,44,1778
2026-07-21 09:46:25,1,0,11248,40960,14,1778
2026-07-21 09:46:27,1,0,11248,40960,17,1778
2026-07-21 09:46:29,1,0,11248,40960,16,1778
2026-07-21 09:46:31,1,0,11248,40960,10,1778
2026-07-21 09:46:33,1,0,11248,40960,50,1778
2026-07-21 09:46:36,1,0,11248,40960,26,1778
2026-07-21 09:46:38,1,0,11248,40960,27,1778
2026-07-21 09:46:40,1,0,11248,40960,5,1778
2026-07-21 09:46:42,1,0,11248,40960,64,1778
2026-07-21 09:46:44,1,0,11248,40960,45,1778
2026-07-21 09:46:47,1,0,11248,40960,44,1778
2026-07-21 09:46:49,1,0,11248,40960,6,1778
2026-07-21 09:46:51,1,0,11248,40960,63,1778
2026-07-21 09:46:53,1,0,11248,40960,23,1778
2026-07-21 09:46:55,1,0,11248,40960,40,1778
2026-07-21 09:46:58,1,0,11248,40960,13,1778
2026-07-21 09:47:00,1,0,11248,40960,63,1778
2026-07-21 09:47:02,1,0,11248,40960,26,1778
2026-07-21 09:47:04,1,0,11248,40960,66,1778
2026-07-21 09:47:06,1,0,11248,40960,15,1778
2026-07-21 09:47:09,1,0,11248,40960,14,1778
2026-07-21 09:47:11,1,0,11248,40960,23,1778
2026-07-21 09:47:13,1,0,11248,40960,34,1778
2026-07-21 09:47:15,1,0,11248,40960,37,1778
2026-07-21 09:47:17,1,0,11248,40960,19,1778
2026-07-21 09:47:20,1,0,11248,40960,17,1778
2026-07-21 09:47:22,1,0,11248,40960,66,1778
2026-07-21 09:47:24,1,0,11248,40960,61,1778
2026-07-21 09:47:26,1,0,11248,40960,5,1778
2026-07-21 09:47:28,1,0,11248,40960,8,1778
2026-07-21 09:47:31,1,0,11248,40960,30,1778
2026-07-21 09:47:33,1,0,11248,40960,17,1778
2026-07-21 09:47:35,1,0,11248,40960,16,1778
2026-07-21 09:47:37,1,0,11248,40960,7,1778
2026-07-21 09:47:39,1,0,11248,40960,9,1778
2026-07-21 09:47:42,1,0,11248,40960,10,1778
2026-07-21 09:47:44,1,0,11248,40960,65,1778
2026-07-21 09:47:46,1,0,11248,40960,25,1778
2026-07-21 09:47:48,1,0,11248,40960,57,1778
2026-07-21 09:47:50,1,0,11248,40960,33,1778
2026-07-21 09:47:53,1,0,11248,40960,22,1778
2026-07-21 09:47:55,1,0,11248,40960,74,1778
