episode_id,step,node_before,node_after,classification,edge_id,edge_type,edge_index,cost_before,cost_after,t0_ns,t1_ns,available_at_ns,distance_before,distance_after,loss_episode_id,recovery_completed,recovered_loss_episode_id,a_valid,b_valid,success_after,success_before,terminal_before,terminal_after,product_before,product_after,tick_before,tick_after
P1V5_F00_920000__R1_clean_transport_success,40,in_transit,grasped,GRAPH_FORBIDDEN,,none,9,0.3333333333333333,0.5,2050000000,2100000000,2100000000,0.004822901540687652,0.0033760310784813896,,False,,,,False,False,False,False,,,41,42
P1V5_F00_920000__R1_clean_transport_success,47,grasped,success,GRAPH_FORBIDDEN,,none,9,0.5,0.0,2400000000,2450000000,2450000000,0.00039718668035237936,0.0,,False,,,,True,False,False,False,,,48,49
P1V5_F00_920000__R2_loss_at_40pct_recover_success,65,dropped_or_misaligned,grasped,GRAPH_FORBIDDEN,,none,9,0.8333333333333334,0.5,3300000000,3350000000,3350000000,0.5462137489126517,0.5434499357385585,P1V5_F00_920000__R2_loss_at_40pct_recover_success:obj:45:1,False,,,,False,False,False,False,,,66,67
P1V5_F00_920000__R2_loss_at_40pct_recover_success,90,in_transit,grasped,GRAPH_FORBIDDEN,,none,9,0.3333333333333333,0.5,4550000000,4600000000,4600000000,0.005291680954310563,0.003704176668017383,,False,,,,False,False,False,False,,,91,92
P1V5_F00_920000__R2_loss_at_40pct_recover_success,97,grasped,success,GRAPH_FORBIDDEN,,none,9,0.5,0.0,4900000000,4950000000,4950000000,0.00043579268081565836,0.0,,False,,,,True,False,False,False,,,98,99
P1V5_F00_920000__R3_loss_at_80pct_recover_success,65,dropped_or_misaligned,grasped,GRAPH_FORBIDDEN,,none,9,0.8333333333333334,0.5,3300000000,3350000000,3350000000,0.3547870697244335,0.3520030977309368,P1V5_F00_920000__R3_loss_at_80pct_recover_success:obj:45:1,False,,,,False,False,False,False,,,66,67
P1V5_F00_920000__R3_loss_at_80pct_recover_success,90,in_transit,grasped,GRAPH_FORBIDDEN,,none,9,0.3333333333333333,0.5,4550000000,4600000000,4600000000,0.0034369629519957127,0.0024058740663970317,,False,,,,False,False,False,False,,,91,92
P1V5_F00_920000__R3_loss_at_80pct_recover_success,97,grasped,success,GRAPH_FORBIDDEN,,none,9,0.5,0.0,4900000000,4950000000,4950000000,0.00028304867803753946,0.0,,False,,,,True,False,False,False,,,98,99
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,65,dropped_or_misaligned,grasped,GRAPH_FORBIDDEN,,none,9,0.8333333333333334,0.5,3300000000,3350000000,3350000000,0.5462137489126517,0.5434499357385585,P1V5_F00_920000__R4_three_cycles_at_40pct_then_success:obj:45:1,False,,,,False,False,False,False,,,66,67
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,97,placed,grasped,GRAPH_FORBIDDEN,,none,9,0.16666666666666666,0.5,4900000000,4950000000,4950000000,0.3127255759753828,0.3127255759753828,,False,,,,False,False,False,False,,,98,99
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,147,dropped_or_misaligned,grasped,GRAPH_FORBIDDEN,,none,9,0.8333333333333334,0.5,7400000000,7450000000,7450000000,0.5456043593113253,0.5428404838981131,P1V5_F00_920000__R4_three_cycles_at_40pct_then_success:obj:127:2,False,,,,False,False,False,False,,,148,149
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,179,placed,grasped,GRAPH_FORBIDDEN,,none,9,0.16666666666666666,0.5,9000000000,9050000000,9050000000,0.312690130416603,0.312690130416603,,False,,,,False,False,False,False,,,180,181
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,229,dropped_or_misaligned,grasped,GRAPH_FORBIDDEN,,none,9,0.8333333333333334,0.5,11500000000,11550000000,11550000000,0.5456042425649582,0.542840367139815,P1V5_F00_920000__R4_three_cycles_at_40pct_then_success:obj:209:3,False,,,,False,False,False,False,,,230,231
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,262,in_transit,grasped,GRAPH_FORBIDDEN,,none,9,0.3333333333333333,0.5,13150000000,13200000000,13200000000,0.0030296236642156455,0.0021207365649510406,,False,,,,False,False,False,False,,,263,264
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,269,grasped,success,GRAPH_FORBIDDEN,,none,9,0.5,0.0,13500000000,13550000000,13550000000,0.00024950253612995003,0.0,,False,,,,True,False,False,False,,,270,271
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,65,dropped_or_misaligned,grasped,GRAPH_FORBIDDEN,,none,9,0.8333333333333334,0.5,3300000000,3350000000,3350000000,0.3547870697244335,0.3520030977309368,P1V5_F00_920000__R5_three_cycles_at_80pct_then_success:obj:45:1,False,,,,False,False,False,False,,,66,67
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,85,in_transit,success,GRAPH_FORBIDDEN,,none,9,0.3333333333333333,0.0,4300000000,4350000000,4350000000,0.11398651751640991,0.0,,False,,,,True,False,False,False,,,86,87
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,97,success,grasped,GRAPH_FORBIDDEN,,none,9,0.0,0.5,4900000000,4950000000,4950000000,0.0,0.03909737550812867,,False,,,,False,True,False,False,,,98,99
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,147,dropped_or_misaligned,grasped,GRAPH_FORBIDDEN,,none,9,0.8333333333333334,0.5,7400000000,7450000000,7450000000,0.3531625200847367,0.35037835755527963,P1V5_F00_920000__R5_three_cycles_at_80pct_then_success:obj:127:2,False,,,,False,False,False,False,,,148,149
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,167,in_transit,success,GRAPH_FORBIDDEN,,none,9,0.3333333333333333,0.0,8400000000,8450000000,8450000000,0.11389135091048662,0.0,,False,,,,True,False,False,False,,,168,169
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,179,success,grasped,GRAPH_FORBIDDEN,,none,9,0.0,0.5,9000000000,9050000000,9050000000,0.0,0.039064733362296926,,False,,,,False,True,False,False,,,180,181
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,229,dropped_or_misaligned,grasped,GRAPH_FORBIDDEN,,none,9,0.8333333333333334,0.5,11500000000,11550000000,11550000000,0.35316251797404485,0.3503783554443404,P1V5_F00_920000__R5_three_cycles_at_80pct_then_success:obj:209:3,False,,,,False,False,False,False,,,230,231
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,262,in_transit,grasped,GRAPH_FORBIDDEN,,none,9,0.3333333333333333,0.5,13150000000,13200000000,13200000000,0.0011034820271653724,0.0007724374190157386,,False,,,,False,False,False,False,,,263,264
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,269,grasped,success,GRAPH_FORBIDDEN,,none,9,0.5,0.0,13500000000,13550000000,13550000000,9.08764899099136e-05,0.0,,False,,,,True,False,False,False,,,270,271
P1V5_F00_920000__R6_three_closed_cycles_then_stop,65,dropped_or_misaligned,grasped,GRAPH_FORBIDDEN,,none,9,0.8333333333333334,0.5,3300000000,3350000000,3350000000,0.5462137489126517,0.5434499357385585,P1V5_F00_920000__R6_three_closed_cycles_then_stop:obj:45:1,False,,,,False,False,False,False,,,66,67
P1V5_F00_920000__R6_three_closed_cycles_then_stop,97,placed,grasped,GRAPH_FORBIDDEN,,none,9,0.16666666666666666,0.5,4900000000,4950000000,4950000000,0.3127255759753828,0.3127255759753828,,False,,,,False,False,False,False,,,98,99
P1V5_F00_920000__R6_three_closed_cycles_then_stop,147,dropped_or_misaligned,grasped,GRAPH_FORBIDDEN,,none,9,0.8333333333333334,0.5,7400000000,7450000000,7450000000,0.5456043593113253,0.5428404838981131,P1V5_F00_920000__R6_three_closed_cycles_then_stop:obj:127:2,False,,,,False,False,False,False,,,148,149
P1V5_F00_920000__R6_three_closed_cycles_then_stop,179,placed,grasped,GRAPH_FORBIDDEN,,none,9,0.16666666666666666,0.5,9000000000,9050000000,9050000000,0.312690130416603,0.312690130416603,,False,,,,False,False,False,False,,,180,181
P1V5_F00_920000__R6_three_closed_cycles_then_stop,229,dropped_or_misaligned,grasped,GRAPH_FORBIDDEN,,none,9,0.8333333333333334,0.5,11500000000,11550000000,11550000000,0.5456042425649582,0.542840367139815,P1V5_F00_920000__R6_three_closed_cycles_then_stop:obj:209:3,False,,,,False,False,False,False,,,230,231
P1V5_F01_920001__R1_clean_transport_success,40,in_transit,grasped,GRAPH_FORBIDDEN,,none,9,0.3333333333333333,0.5,2050000000,2100000000,2100000000,0.005596934589547242,0.003917854212683092,,False,,,,False,False,False,False,,,41,42
