epoch,loss,smooth_l1,rank_penalty
1,0.07028214633464813,0.06953473389148712,0.00014948243915569037
2,0.06769934296607971,0.06727723777294159,8.442041144007817e-05
3,0.06549854576587677,0.06521674245595932,5.636067362502217e-05
4,0.06371338665485382,0.0633213222026825,7.841271872166544e-05
5,0.062003158032894135,0.06150294840335846,0.00010004184150602669
6,0.06034966558218002,0.059739723801612854,0.00012198847252875566
7,0.058710433542728424,0.05801963806152344,0.00013815933198202401
8,0.05712347477674484,0.05635564401745796,0.00015356609947048128
9,0.055539488792419434,0.05467554181814194,0.00017278916493523866
10,0.053930509835481644,0.05296052619814873,0.00019399679149501026
11,0.05230183154344559,0.05122729763388634,0.0002149067586287856
12,0.050640273839235306,0.04945463314652443,0.00023712831898592412
13,0.04898129776120186,0.04767374321818352,0.0002615111880004406
14,0.04729451239109039,0.04584944620728493,0.0002890134055633098
15,0.045561112463474274,0.043973032385110855,0.0003176156897097826
16,0.04378211125731468,0.04203752800822258,0.00034891694667749107
17,0.041949495673179626,0.04003744199872017,0.0003824103914666921
18,0.04009435325860977,0.03799803927540779,0.0004192628257442266
19,0.038222771137952805,0.035940222442150116,0.0004565097624436021
20,0.036340489983558655,0.0338677242398262,0.0004945528926327825
21,0.03446315973997116,0.03178538754582405,0.0005355540779419243
22,0.03258553892374039,0.029688775539398193,0.0005793530726805329
23,0.030731873586773872,0.027605922892689705,0.0006251902668736875
24,0.028917493298649788,0.02556595392525196,0.0006703079561702907
25,0.027151497080922127,0.023583771660923958,0.0007135451305657625
26,0.025467483326792717,0.021699098870158195,0.0007536768680438399
27,0.023883428424596786,0.019943419843912125,0.000788001692853868
28,0.022432172670960426,0.018328534439206123,0.000820727611426264
29,0.021126264706254005,0.016868002712726593,0.0008516522939316928
30,0.019956286996603012,0.01557974237948656,0.0008753088186495006
31,0.018908558413386345,0.014461444690823555,0.0008894227212294936
32,0.017967939376831055,0.013513298705220222,0.0008909282623790205
33,0.01712726429104805,0.01272532343864441,0.0008803882519714534
34,0.0163811556994915,0.012085381895303726,0.0008591549703851342
35,0.01574057713150978,0.011575480923056602,0.000833019323181361
36,0.01518547534942627,0.011170531623065472,0.0008029886521399021
37,0.014699982479214668,0.010849838145077229,0.0007700287969782948
38,0.014279641211032867,0.010594597086310387,0.0007370089297182858
39,0.013912763446569443,0.010387075133621693,0.0007051375578157604
40,0.013609632849693298,0.010213690809905529,0.0006791884079575539
41,0.013326378539204597,0.010065671987831593,0.0006521413451991975
42,0.013057165779173374,0.009945915080606937,0.0006222500815056264
43,0.012799400836229324,0.009836734272539616,0.0005925332079641521
44,0.012558065354824066,0.009722091257572174,0.0005671948310919106
45,0.012302396818995476,0.00959385372698307,0.000541708548553288
46,0.012045839801430702,0.009454559534788132,0.0005182561581023037
47,0.01178077980875969,0.00930341612547636,0.0004954726318828762
48,0.011512837372720242,0.00913964956998825,0.0004746376071125269
49,0.011236337013542652,0.008961750194430351,0.00045491737546399236
50,0.010963104665279388,0.008771455846726894,0.0004383297637104988
51,0.01069057360291481,0.00857553631067276,0.0004230074700899422
52,0.010425612330436707,0.008377306163311005,0.00040966126834973693
53,0.010165125131607056,0.008176005445420742,0.00039782398380339146
54,0.009903553873300552,0.007973690517246723,0.0003859726421069354
55,0.009653575718402863,0.0077752117067575455,0.0003756727965082973
56,0.00940819550305605,0.007593671791255474,0.00036290474236011505
57,0.009177498519420624,0.007423292845487595,0.0003508411755319685
58,0.008966049179434776,0.007253638468682766,0.0003424821188673377
59,0.008760595694184303,0.0070803104899823666,0.00033605704084038734
60,0.008560423739254475,0.006905850954353809,0.0003309145977254957
61,0.008358931168913841,0.006727779749780893,0.00032623030710965395
62,0.008213362656533718,0.006537956651300192,0.00033508118940517306
63,0.008038370870053768,0.006335485260933638,0.0003405771858524531
64,0.007787109352648258,0.006133901420980692,0.00033064160379581153
65,0.0075566768646240234,0.005948325153440237,0.00032167034805752337
66,0.00737935584038496,0.005778901744633913,0.0003200907667633146
67,0.007212808821350336,0.005623566452413797,0.000317848491249606
68,0.007065362296998501,0.005480962805449963,0.000316879857564345
69,0.006916600279510021,0.005355857312679291,0.00031214862246997654
70,0.006768790073692799,0.0052401963621377945,0.0003057187714148313
71,0.006618641782552004,0.0051265074871480465,0.0002984268357977271
72,0.006463073659688234,0.005013117101043463,0.0002899913233704865
73,0.006307132542133331,0.004902570508420467,0.0002809124125633389
74,0.006154729053378105,0.004799545742571354,0.00027103660977445543
75,0.0060053542256355286,0.00470971642062068,0.0002591275260783732
76,0.00589150283485651,0.0046320511028170586,0.0002518903638701886
77,0.005721936002373695,0.004555795341730118,0.00023322811466641724
78,0.00558868795633316,0.004482255317270756,0.0002212865074397996
79,0.0054570892825722694,0.004421246238052845,0.00020716861763503402
80,0.005351852625608444,0.004359724000096321,0.00019842578331008554
