coverage_item,episodes,transition_events,status
contact_loss,16,18,covered
contact_recovery,14,16,covered
detour,37,37,covered
grazing,19,23,covered
stagnation,24,127,covered
mixed_random_success,10,0,covered
mixed_random_failure,2,0,covered
