task_id,gt_episode_count,success_count,recovery_episode_count,failure_episode_count,path_A_then_B,path_B_then_A,min_edge_examples,critical_edge_count
transport_recovery,52,40,20,32,0,0,12,8
transport_dual_order,56,48,8,16,20,36,8,10
