anchor_count,claim_id,continuation_count,eligible_family_count,lock_sha256,status
0,T028,0,0,95b5e89586456fed89f7dc821655bfaf6cc7b0d5268500cf7fc22058926bc9de,not_encountered
5,T029,15,5,95b5e89586456fed89f7dc821655bfaf6cc7b0d5268500cf7fc22058926bc9de,PASS
0,C_ROLE,0,0,95b5e89586456fed89f7dc821655bfaf6cc7b0d5268500cf7fc22058926bc9de,not_encountered
