metric,seeds,mean,std,min,max,coefficient_of_variation,three_of_three_direction_agreement,interpretation
node_macro_f1,3,0.749512427278631,0.050907642378130495,0.7087274653451123,0.80656589858336,0.06792101174755519,True,descriptive_fixed_three_checkpoint_summary
edge_type_macro_f1_non_none,3,0.6488022765855933,0.09825421138759123,0.5744843391902216,0.7602008788449467,0.1514393751894134,True,descriptive_fixed_three_checkpoint_summary
phi_mae,3,0.15749163886524228,0.014768447291062173,0.1405140845905034,0.1673693089160877,0.09377289738980235,False,descriptive_fixed_three_checkpoint_summary
remaining_cost_mae,3,0.17267575700443713,0.012741264393838464,0.1581180023532793,0.181796821343111,0.07378722187105316,False,descriptive_fixed_three_checkpoint_summary
