dataset,rollout_id,case_id,reference_action,reference_resolved,temporal_outcome,accurate,primary_action,primary_action_time,primary_action_capture_order,event_onset,deadline,latency_from_physical_onset
R22_PHYSICAL,L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.6100000000000012,2.360000000000001,0.040000000000000036
R22_PHYSICAL,L2RAR2_R22_CANON_00_890000__T12_transport_commanded_release,T12_transport_commanded_release,none,True,CORRECT_NONE,True,,,,,,
R22_PHYSICAL,L2RAR2_R22_CANON_00_890000__T1_transport_stable_clean,T1_transport_stable_clean,none,True,CORRECT_NONE,True,,,,,,
R22_PHYSICAL,L2RAR2_R22_CANON_00_890000__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,none,True,CORRECT_NONE,True,,,,,,
R22_PHYSICAL,L2RAR2_R22_CANON_00_890000__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,none,True,CORRECT_NONE,True,,,,,,
R22_PHYSICAL,L2RAR2_R22_CANON_00_890000__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6000000000000012,36,1.5200000000000011,2.2700000000000014,0.08000000000000007
R22_PHYSICAL,L2RAR2_R22_CANON_01_890001__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.6100000000000012,2.360000000000001,0.040000000000000036
R22_PHYSICAL,L2RAR2_R22_CANON_01_890001__T12_transport_commanded_release,T12_transport_commanded_release,none,True,CORRECT_NONE,True,,,,,,
R22_PHYSICAL,L2RAR2_R22_CANON_01_890001__T1_transport_stable_clean,T1_transport_stable_clean,none,True,CORRECT_NONE,True,,,,,,
R22_PHYSICAL,L2RAR2_R22_CANON_01_890001__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,none,True,CORRECT_NONE,True,,,,,,
R22_PHYSICAL,L2RAR2_R22_CANON_01_890001__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,none,True,CORRECT_NONE,True,,,,,,
R22_PHYSICAL,L2RAR2_R22_CANON_01_890001__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6000000000000012,36,1.5700000000000012,2.320000000000001,0.030000000000000027
R22_PHYSICAL,L2RAR2_R22_CANON_02_890002__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.5600000000000012,2.3100000000000014,0.09000000000000008
R22_PHYSICAL,L2RAR2_R22_CANON_02_890002__T12_transport_commanded_release,T12_transport_commanded_release,none,True,CORRECT_NONE,True,,,,,,
R22_PHYSICAL,L2RAR2_R22_CANON_02_890002__T1_transport_stable_clean,T1_transport_stable_clean,none,True,CORRECT_NONE,True,,,,,,
R22_PHYSICAL,L2RAR2_R22_CANON_02_890002__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,none,True,CORRECT_NONE,True,,,,,,
R22_PHYSICAL,L2RAR2_R22_CANON_02_890002__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,none,True,CORRECT_NONE,True,,,,,,
R22_PHYSICAL,L2RAR2_R22_CANON_02_890002__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6000000000000012,36,1.5200000000000011,2.2700000000000014,0.08000000000000007
R22_PHYSICAL,L2RAR2_R22_CANON_03_890003__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.6200000000000012,2.370000000000001,0.030000000000000027
R22_PHYSICAL,L2RAR2_R22_CANON_03_890003__T12_transport_commanded_release,T12_transport_commanded_release,none,True,CORRECT_NONE,True,,,,,,
R22_PHYSICAL,L2RAR2_R22_CANON_03_890003__T1_transport_stable_clean,T1_transport_stable_clean,none,True,CORRECT_NONE,True,,,,,,
R22_PHYSICAL,L2RAR2_R22_CANON_03_890003__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,none,True,CORRECT_NONE,True,,,,,,
R22_PHYSICAL,L2RAR2_R22_CANON_03_890003__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,none,True,CORRECT_NONE,True,,,,,,
R22_PHYSICAL,L2RAR2_R22_CANON_03_890003__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6000000000000012,36,1.5200000000000011,2.2700000000000014,0.08000000000000007
