ablation_id,legal_path_normalized_gap,forward_positive_rate,reward_nonzero_rate,failure_negative_rate,recovery_positive_rate,recovery_positive_weight_coverage,recovery_cycle_nonpositive_rate,positive_loop_rate,loop_return_mean,success_return_auroc,fixed_order_score_drop
full_lcb,0.0,0.55,0.8177117000646412,1.0,0.75,0.75,1.0,0.0,0.0,not_estimable,0.0
no_phi,0.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,0.0,not_estimable,0.0
no_loop_penalty,0.0,0.55,0.8177117000646412,1.0,0.75,0.75,1.0,0.0,0.0,not_estimable,0.0
no_recovery_cap,0.0,0.55,0.8228829993535876,1.0,1.0,1.0,1.0,0.0,0.0,not_estimable,0.0
no_uncertainty,0.0,0.55,0.8177117000646412,1.0,0.75,0.75,1.0,0.0,0.0,not_estimable,0.0
cost_only,0.0,0.65,0.8228829993535876,0.7857142857142857,1.0,1.0,1.0,0.0,0.0,not_estimable,0.0
