case_count,high_impact_cases,root_family_id,split
83,19,u4b_v1_00,dev_route
85,30,u4b_v1_01,dev_route
89,40,u4b_v1_02,dev_route
83,19,u4b_v1_03,dev_route
17,9,u4b_v1_04,dev_route
89,22,u4b_v1_05,dev_route
73,16,u4b_v1_06,dev_route
80,24,u4b_v1_07,dev_route
97,37,u4b_v1_08,dev_route
73,16,u4b_v1_09,dev_route
22,9,u4b_v1_10,dev_route
80,19,u4b_v1_11,dev_route
87,19,u4b_v1_12,dev_route
90,27,u4b_v1_13,dev_route
95,40,u4b_v1_14,dev_route
79,19,u4b_v1_15,dev_route
18,9,u4b_v1_16,dev_route
90,22,u4b_v1_17,dev_route
76,16,u4b_v1_18,dev_route
80,24,u4b_v1_19,dev_route
90,37,u4b_v1_20,dev_route
75,16,u4b_v1_21,dev_route
21,9,u4b_v1_22,dev_route
71,16,u4b_v1_23,dev_route
