boundary_source,failure_negative_rate,failure_negative_rate_ci_low,failure_negative_rate_ci_high,recovery_positive_rate,recovery_positive_rate_ci_low,recovery_positive_rate_ci_high,success_positive_rate,failure_recovery_mixed_segment_rate,event_segment_purity,segment_return_rank_correlation_with_continuation_q,closed_full_input_cycle_residual,bootstrap_root_families,segments,failure_negative_rate_drop_vs_gold,recovery_positive_rate_drop_vs_gold
best_budget,0.003194888178913738,0.0,0.008333333333333333,0.0,0.0,0.0,0.26666666666666666,0.0,0.9974480968858132,0.17319038674190143,0.0,5000,11560,0.3993610223642173,0.0
best_causal,0.1182108626198083,0.051381944444444445,0.16805555555555554,0.0,0.0,0.0,0.4239316239316239,0.0,0.9959595959595959,0.22606849128172177,0.0,5000,7920,0.2843450479233227,0.0
best_rule,0.09904153354632587,0.0521031746031746,0.1373878968253967,0.9595141700404858,0.9208333333333332,0.9875,0.7550200803212851,0.025910627112279386,0.8958255100763549,0.3389786170653757,0.0,5000,5326,0.3035143769968051,-0.9595141700404858
gold,0.402555910543131,0.24087202380952383,0.4750069444444443,0.0,0.0,0.0,0.9880341880341881,0.0,1.0,0.3858694182264317,0.0,5000,3642,0.0,0.0
uniform,0.11501597444089456,0.0663829365079365,0.15388988095238093,0.9601593625498008,0.9208333333333332,0.9875,0.7821171634121274,0.022988505747126436,0.9110679402082995,0.33619281279125685,0.0,5000,6177,0.28753993610223644,-0.9601593625498008
