boundary_source,segments,budget_source
gold,3642,budget30_random_stratified_s641
best_causal,7920,budget30_random_stratified_s641
best_rule,5326,budget30_random_stratified_s641
uniform,6177,budget30_random_stratified_s641
best_budget,11560,budget30_random_stratified_s641
