trial_group,state_max_abs,camera_max_abs,depth_hash_equal,rgb_hash_equal,differing_pixels,max_channel_diff
same_process_10,0.0,0.0,true,false,1-3,1
new_process_3,0.0,0.0,true,false,1-3,1
