request_id,case_id,root_family_id,split,condition,requested_model,returned_model,response_id,image_count_sent,structure_valid,candidate_path,candidate_sha256
dev_F01_A_T,F01_A,F01,dev,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-7cbd41ac-f861-9a70-95fb-306943e20c4d,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/dev/dev_F01_A_T.json,c5bc1aec544ea169b0aabc5a1c4118a28bfdc542ea51204a976120be405ad422
dev_F01_A_V1,F01_A,F01,dev,V1,qwen3.7-plus,qwen3.7-plus,chatcmpl-9bc4782f-e150-952e-9ba8-3dd226899810,1,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/dev/dev_F01_A_V1.json,d6c77891ecabbf086b139514b5d08ac0773f03c7e14d9fdcc008b678edfca26e
dev_F01_A_V2,F01_A,F01,dev,V2,qwen3.7-plus,qwen3.7-plus,chatcmpl-d8970792-ac57-9a4f-8fcb-1c9b7019736f,2,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/dev/dev_F01_A_V2.json,767a39b21859977baa56641a6736e6ae841e811cbdb750bc5d0708f872032fd2
dev_F01_B_T,F01_B,F01,dev,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-779d9911-a95a-9267-8739-77220c5e0fca,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/dev/dev_F01_B_T.json,e1db341c2d740a44c4224b4376405c193ca3676f56073b5447c6bb6402921a83
dev_F01_B_V1,F01_B,F01,dev,V1,qwen3.7-plus,qwen3.7-plus,chatcmpl-b6e85878-deab-9771-817b-c3789c841127,1,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/dev/dev_F01_B_V1.json,c051957fe0643df822a7863cf2deeedffee8993429aa62c84f5edf6e32caf3f7
dev_F01_B_V2,F01_B,F01,dev,V2,qwen3.7-plus,qwen3.7-plus,chatcmpl-2bedf15b-90da-9b69-830a-05e89b42a4d2,2,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/dev/dev_F01_B_V2.json,4e4ccbb9b3656bbf93f98151444f0692f5e3ae06a4ea7e00267387d299dcf2e8
dev_F05_A_T,F05_A,F05,dev,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-2aa37a74-3350-93b3-b93b-409607b2f260,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/dev/dev_F05_A_T.json,1c18adc0c33336e32e83b97aee280c634e7844751a0d5ab17c1cbfd614337823
dev_F05_A_V1,F05_A,F05,dev,V1,qwen3.7-plus,qwen3.7-plus,chatcmpl-4b2bb5a3-dfd8-9ff7-b19f-6a9ccdb8d022,1,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/dev/dev_F05_A_V1.json,6bc166785fde1356f1f41ab8073c934dcdecf78374780589e09c6494fe52cf87
dev_F05_A_V2,F05_A,F05,dev,V2,qwen3.7-plus,qwen3.7-plus,chatcmpl-99099789-84ab-92c9-8ded-9afa583173c0,2,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/dev/dev_F05_A_V2.json,8cab3333685cced7f238af7885dc5dbd2c6748a8e8561b297908c9b29618e212
dev_F05_B_T,F05_B,F05,dev,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-17583520-1248-978e-9fd4-44cb77b7ec12,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/dev/dev_F05_B_T.json,00a115b1544ce7f45baadc164b534e10fab384877cb6ae7dbfb8145511840f90
dev_F05_B_V1,F05_B,F05,dev,V1,qwen3.7-plus,qwen3.7-plus,chatcmpl-e601f2e4-c15b-9128-a4b6-21a0f945bf27,1,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/dev/dev_F05_B_V1.json,c74415fdf4ca0be861825669389d2977936c53ab7486573b9007fb74c88b86af
dev_F05_B_V2,F05_B,F05,dev,V2,qwen3.7-plus,qwen3.7-plus,chatcmpl-706bfaef-dad7-9830-8fb6-6970cb79bceb,2,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/dev/dev_F05_B_V2.json,48d302e25aeb390e17e73d99d5486966faf03a677a44c30058aaf9b3bb85785d
dev_F09_A_T,F09_A,F09,dev,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-84cc93f0-6c81-9d7b-9655-ed12033d35b9,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/dev/dev_F09_A_T.json,2a9d9227520caba5f5b29dd594789a8955b3dd8f7f644ae50b05e8fbe233b9b2
dev_F09_A_V1,F09_A,F09,dev,V1,qwen3.7-plus,qwen3.7-plus,chatcmpl-c719414b-20e0-9a5d-8881-674a026b5fb9,1,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/dev/dev_F09_A_V1.json,7c8493b34c56857bfce50f95ec1079e30b9a5d57466ffac561651f6d383e0cce
dev_F09_A_V2,F09_A,F09,dev,V2,qwen3.7-plus,qwen3.7-plus,chatcmpl-e75d737c-302c-9c89-a257-d7df1847257e,2,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/dev/dev_F09_A_V2.json,629133b415cdd8bd6d5ee65529705f6562d4ddafbeb2f2f95dcae9f02232b663
dev_F09_B_T,F09_B,F09,dev,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-9b320983-862e-9cbf-999f-4a9215dd915c,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/dev/dev_F09_B_T.json,7c945d85a499c11c0840990d7a160a6647491e852d8c27c13e6ffcdbcc68b047
dev_F09_B_V1,F09_B,F09,dev,V1,qwen3.7-plus,qwen3.7-plus,chatcmpl-f82bd3e9-8c18-9c5e-be77-fbea58526906,1,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/dev/dev_F09_B_V1.json,f2c5c8a0c858820145f8739ec5d5f2bc32de907a531cae0a734afef6a0616a13
