trace_id,variant_id,step,edge_type,reward,raw_reward,debt_before,debt_after,recovery_debt_capped,suppressed_recovery_semantic,episode_id,content_group_id,edge_type_gt
illegal_backtrack,full_locked,3,2,1.0,1.0,0.0,0.0,False,False,,,
illegal_backtrack,full_locked,4,1,1.0,1.0,0.0,0.0,False,False,,,
illegal_backtrack,full_locked,5,1,1.0,1.0,0.0,0.0,False,False,,,
terminal_success_hold,full_locked,0,1,1.0,1.0,0.0,0.0,False,False,,,
terminal_success_hold,full_locked,1,1,1.0,1.0,0.0,0.0,False,False,,,
terminal_success_hold,full_locked,2,1,1.0,1.0,0.0,0.0,False,False,,,
terminal_success_hold,full_locked,3,1,1.0,1.0,0.0,0.0,False,False,,,
terminal_success_hold,full_locked,4,0,0.0,0.0,0.0,0.0,False,False,,,
terminal_success_hold,full_locked,5,0,0.0,0.0,0.0,0.0,False,False,,,
,full_locked,,,0.04979074063400427,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.04821948210398356,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.056075334548950195,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0529341995716095,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0366431325674057,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.026727949579556782,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.021699945131937664,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.020204345385233562,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.019276082515716553,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.019256810347239178,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.019843439261118572,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.02123051881790161,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.023608972628911335,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.02958136796951294,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.03741381565729777,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.03963726758956909,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.015114078919092814,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.007543553908665975,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.006884545087814331,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,1
,full_locked,,,0.17150146762530008,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,1
,full_locked,,,0.04314211259285609,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.04469967385133108,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.023296003540356953,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.028773066898187,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.024965410431226093,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.03015925983587901,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.03942875564098358,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.03723656634489695,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.035816729068756104,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.04144079486529032,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.044062276681264244,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.019042332967122395,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.020836631457010906,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0247997244199117,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.03128906091054281,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.03468038638432821,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.02043020725250244,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.003915439049402873,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.004918972651163737,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,1
,full_locked,,,-0.16355479756991068,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,1
,full_locked,,,0.07646133378148079,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.07423173263669014,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.025739605228106182,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.023733568688233692,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.029841636617978413,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.03465579946835836,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.03395874301592509,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.037661969661712646,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.03682217995325724,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.03680999080340067,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,-0.0010421772797902424,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.008461356163024902,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,-0.01954530676205953,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,-0.03782254457473755,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,-0.0034969747066497803,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.004778111974398295,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,-0.026002615690231323,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,-0.12901022036870322,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.022966906428337097,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.37091057499249774,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.08866217732429504,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.033340007066726685,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.005980302890141805,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0036178032557169595,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.005114108324050903,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.009018664558728537,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.011745000878969828,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.018530348936716717,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0228022833665212,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.03245637814203898,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.014978130658467611,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.008710235357284546,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.008793468276659647,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,-0.036175161600112915,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,1
,full_locked,,,-0.07518105208873749,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,1
,full_locked,,,-0.021649916966756184,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.01950751741727193,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.002779220541318258,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0032539566357930503,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0076646755139033,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.008820643027623495,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0065855880578358965,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0058004359404246015,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0044486671686172485,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0033069650332132974,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.003600791096687317,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.001317267616589864,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.17854314794143042,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.03216280291477839,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,1
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,1
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
,full_locked,,,0.0,,0.0,0.0,False,,transport_recovery__0000,48192627e0ecdae9,0
