artifact_id,artifact_type,source_path,source_kind,statistics_unit_or_scope,unsupported_claim_in_main
figure_2_reward_behavior,figure,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/final_statistics_v1/tables/final_bootstrap_effects.csv,final_csv,content_group_id_or_explicit_auxiliary_provenance,False
figure_3_structural_ablations,figure,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/final_statistics_v1/tables/final_bootstrap_effects.csv,final_csv,content_group_id_or_explicit_auxiliary_provenance,False
figure_3_structural_ablations,figure,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/core_reproduction_v1/tables/reproduced_core_ablation_effects.csv,final_csv,content_group_id_or_explicit_auxiliary_provenance,False
figure_4_history_and_uncertainty,figure,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/g4_refine1_v1/tables/history_granularity_summary.csv,final_csv,content_group_id_or_explicit_auxiliary_provenance,False
figure_4_history_and_uncertainty,figure,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/g4_refine1_v1/tables/uncertainty_error_detection.csv,final_csv,content_group_id_or_explicit_auxiliary_provenance,False
figure_A1_per_seed_metrics,figure,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/core_reproduction_v1/tables/reproduced_model_metrics.csv,final_csv,content_group_id_or_explicit_auxiliary_provenance,False
figure_A2_policy_secondary,figure,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/g4_refine1_v1/tables/policy_secondary_evidence.csv,final_csv,content_group_id_or_explicit_auxiliary_provenance,False
figure_A3_auto_graph_extension,figure,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/g4_refine1_v1/tables/auto_graph_test_metrics.csv,final_csv,content_group_id_or_explicit_auxiliary_provenance,False
figure_A4_coverage_and_unseen_order_negative_results,figure,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/g4_refine1_v1/tables/coverage_scaling_metrics.csv,final_csv,content_group_id_or_explicit_auxiliary_provenance,False
figure_A4_coverage_and_unseen_order_negative_results,figure,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/g4_refine1_v1/tables/ood_reward_metrics.csv,final_csv,content_group_id_or_explicit_auxiliary_provenance,False
figure_1_pathgraph_method,figure,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage5/reward_v1/configs/reward_config_v1.yaml,locked_reward_config,"method schematic, no result values",False
figure_1_pathgraph_method,figure,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage3/input_adapter_v1/runtime_graph_specs_v1.0.1,locked_manual_graph_spec,"method schematic, no result values",False
