coarse_state,predicate,binding
scene_unverified,visual_unknown,observation_or_unknown
task_already_satisfied_candidate,goal_verified,temporal_visual_plus_open_gripper
stable_hold_candidate,stable_hold_observed,temporal_visual_plus_contact_action
object_in_transport,transport_observed,temporal_visual_plus_contact_action
object_above_target,object_above_target,single_view_geometry_plus_contact
object_on_target_candidate,placement_candidate,single_view_geometry_plus_contact
object_released,gripper_command_open,allowed_command_sensor
goal_stability_candidate,goal_verified,temporal_visual_plus_open_gripper
