method,node_macro_f1,edge_type_macro_f1_non_none,phi_mae,cost_mae,legal_path_normalized_gap,failure_negative_rate,recovery_positive_rate,loop_nonpositive_rate,positive_loop_rate,success_failure_margin,fixed_order_drop,statistics_unit,provenance
pathgraph_reward_v1_locked,0.7348406699430963,0.6200716845878137,0.15070918874982267,0.16663568437707155,0.0,1.0,0.75,1.0,0.0,0.2652299806061711,0.0,content_group_id,stage5_frozen_reward_metrics
pathgraph_full_no_lcb,0.7348406699430963,0.6200716845878137,0.15070918874982267,0.16663568437707155,0.0,1.0,0.75,1.0,0.0,0.2652299806061711,0.0,content_group_id,stage5_frozen_reward_metrics
pathgraph_cost_plus_phi,0.7348406699430963,0.6200716845878137,0.15070918874982267,0.16663568437707155,0.0,1.0,0.75,1.0,0.0,0.321096602537565,0.0,content_group_id,stage5_frozen_reward_metrics
pathgraph_cost_only,0.7348406699430963,0.6200716845878137,0.15070918874982267,0.16663568437707155,0.0,1.0,0.75,1.0,0.0,6.912814246273769e-05,0.0,content_group_id,stage5_frozen_reward_metrics
linear_time_fraction,0.7348406699430963,0.6200716845878137,0.15070918874982267,0.16663568437707155,0.0,0.0,0.0,1.0,0.0,-8.881784197001252e-16,0.0,content_group_id,stage5_frozen_reward_metrics
oracle_linear_chain_A_first,0.7348406699430963,0.6200716845878137,0.15070918874982267,0.16663568437707155,0.0,0.0,0.0,1.0,0.0,0.3237798511981964,0.0,content_group_id,stage5_frozen_reward_metrics
oracle_linear_chain_B_first,0.7348406699430963,0.6200716845878137,0.15070918874982267,0.16663568437707155,0.0,0.0,0.0,1.0,0.0,0.3237798511981964,0.0,content_group_id,stage5_frozen_reward_metrics
sequential_transition_oracle,0.7348406699430963,0.6200716845878137,0.15070918874982267,0.16663568437707155,0.0,0.0,0.0,1.0,0.0,0.3237798511981964,0.0,content_group_id,stage5_frozen_reward_metrics
learned_linear_sarm,0.7348406699430963,0.6200716845878137,0.15070918874982267,0.16663568437707155,0.0,0.0,0.0,1.0,0.0,0.3237798511981964,0.0,content_group_id,stage5_frozen_reward_metrics
