root_family_id,horizon_ns,episode_id,can_score,visual_count
L2RAR2_R24_BOUNDARY_00_896000,750000000,L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__O_C3_CLP3_CANONICAL_TIME,True,137
L2RAR2_R24_BOUNDARY_00_896000,1000000000,L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__O_C3_CLP3_CANONICAL_TIME,True,137
L2RAR2_R24_BOUNDARY_00_896000,100000000,L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__O_C3_RAW,True,172
L2RAR2_R24_BOUNDARY_00_896000,250000000,L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__O_C3_RAW,True,172
L2RAR2_R24_BOUNDARY_00_896000,500000000,L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__O_C3_RAW,True,172
L2RAR2_R24_BOUNDARY_00_896000,750000000,L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__O_C3_RAW,True,172
L2RAR2_R24_BOUNDARY_00_896000,1000000000,L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__O_C3_RAW,True,172
L2RAR2_R24_BOUNDARY_00_896000,100000000,L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__RECOVERY_DISABLED,True,137
L2RAR2_R24_BOUNDARY_00_896000,250000000,L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__RECOVERY_DISABLED,True,137
L2RAR2_R24_BOUNDARY_00_896000,500000000,L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__RECOVERY_DISABLED,True,137
L2RAR2_R24_BOUNDARY_00_896000,750000000,L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__RECOVERY_DISABLED,True,137
L2RAR2_R24_BOUNDARY_00_896000,1000000000,L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__RECOVERY_DISABLED,True,137
L2RAR2_R24_BOUNDARY_00_896000,100000000,L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__O_C3_CLP3_CANONICAL_TIME,True,67
L2RAR2_R24_BOUNDARY_00_896000,250000000,L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__O_C3_CLP3_CANONICAL_TIME,True,67
L2RAR2_R24_BOUNDARY_00_896000,500000000,L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__O_C3_CLP3_CANONICAL_TIME,True,67
L2RAR2_R24_BOUNDARY_00_896000,750000000,L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__O_C3_CLP3_CANONICAL_TIME,True,67
L2RAR2_R24_BOUNDARY_00_896000,1000000000,L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__O_C3_CLP3_CANONICAL_TIME,False,67
L2RAR2_R24_BOUNDARY_00_896000,100000000,L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__O_C3_RAW,True,67
L2RAR2_R24_BOUNDARY_00_896000,250000000,L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__O_C3_RAW,True,67
L2RAR2_R24_BOUNDARY_00_896000,500000000,L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__O_C3_RAW,True,67
L2RAR2_R24_BOUNDARY_00_896000,750000000,L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__O_C3_RAW,True,67
L2RAR2_R24_BOUNDARY_00_896000,1000000000,L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__O_C3_RAW,False,67
L2RAR2_R24_BOUNDARY_00_896000,100000000,L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__RECOVERY_DISABLED,True,67
L2RAR2_R24_BOUNDARY_00_896000,250000000,L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__RECOVERY_DISABLED,True,67
L2RAR2_R24_BOUNDARY_00_896000,500000000,L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__RECOVERY_DISABLED,True,67
L2RAR2_R24_BOUNDARY_00_896000,750000000,L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__RECOVERY_DISABLED,True,67
L2RAR2_R24_BOUNDARY_00_896000,1000000000,L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__RECOVERY_DISABLED,False,67
L2RAR2_R24_BOUNDARY_00_896000,100000000,L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__O_C3_CLP3_CANONICAL_TIME,True,53
L2RAR2_R24_BOUNDARY_00_896000,250000000,L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__O_C3_CLP3_CANONICAL_TIME,True,53
L2RAR2_R24_BOUNDARY_00_896000,500000000,L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__O_C3_CLP3_CANONICAL_TIME,True,53
L2RAR2_R24_BOUNDARY_00_896000,750000000,L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__O_C3_CLP3_CANONICAL_TIME,True,53
L2RAR2_R24_BOUNDARY_00_896000,1000000000,L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__O_C3_CLP3_CANONICAL_TIME,True,53
L2RAR2_R24_BOUNDARY_00_896000,100000000,L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__O_C3_RAW,True,53
L2RAR2_R24_BOUNDARY_00_896000,250000000,L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__O_C3_RAW,True,53
L2RAR2_R24_BOUNDARY_00_896000,500000000,L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__O_C3_RAW,True,53
L2RAR2_R24_BOUNDARY_00_896000,750000000,L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__O_C3_RAW,True,53
L2RAR2_R24_BOUNDARY_00_896000,1000000000,L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__O_C3_RAW,True,53
L2RAR2_R24_BOUNDARY_00_896000,100000000,L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__RECOVERY_DISABLED,True,53
L2RAR2_R24_BOUNDARY_00_896000,250000000,L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__RECOVERY_DISABLED,True,53
L2RAR2_R24_BOUNDARY_00_896000,500000000,L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__RECOVERY_DISABLED,True,53
L2RAR2_R24_BOUNDARY_00_896000,750000000,L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__RECOVERY_DISABLED,True,53
L2RAR2_R24_BOUNDARY_00_896000,1000000000,L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__RECOVERY_DISABLED,True,53
L2RAR2_R24_BOUNDARY_00_896000,100000000,L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,True,133
L2RAR2_R24_BOUNDARY_00_896000,250000000,L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,False,133
L2RAR2_R24_BOUNDARY_00_896000,500000000,L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,False,133
L2RAR2_R24_BOUNDARY_00_896000,750000000,L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,False,133
L2RAR2_R24_BOUNDARY_00_896000,1000000000,L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,False,133
L2RAR2_R24_BOUNDARY_00_896000,100000000,L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__O_C3_RAW,False,132
L2RAR2_R24_BOUNDARY_00_896000,250000000,L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__O_C3_RAW,False,132
L2RAR2_R24_BOUNDARY_00_896000,500000000,L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__O_C3_RAW,False,132
L2RAR2_R24_BOUNDARY_00_896000,750000000,L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__O_C3_RAW,False,132
L2RAR2_R24_BOUNDARY_00_896000,1000000000,L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__O_C3_RAW,False,132
L2RAR2_R24_BOUNDARY_00_896000,100000000,L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__RECOVERY_DISABLED,True,53
L2RAR2_R24_BOUNDARY_00_896000,250000000,L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__RECOVERY_DISABLED,True,53
L2RAR2_R24_BOUNDARY_00_896000,500000000,L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__RECOVERY_DISABLED,True,53
L2RAR2_R24_BOUNDARY_00_896000,750000000,L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__RECOVERY_DISABLED,True,53
L2RAR2_R24_BOUNDARY_00_896000,1000000000,L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__RECOVERY_DISABLED,True,53
L2RAR2_R24_BOUNDARY_00_896000,100000000,L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__O_C3_CLP3_CANONICAL_TIME,True,216
L2RAR2_R24_BOUNDARY_00_896000,250000000,L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__O_C3_CLP3_CANONICAL_TIME,True,216
L2RAR2_R24_BOUNDARY_00_896000,500000000,L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__O_C3_CLP3_CANONICAL_TIME,True,216
L2RAR2_R24_BOUNDARY_00_896000,750000000,L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__O_C3_CLP3_CANONICAL_TIME,True,216
L2RAR2_R24_BOUNDARY_00_896000,1000000000,L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__O_C3_CLP3_CANONICAL_TIME,True,216
L2RAR2_R24_BOUNDARY_00_896000,100000000,L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__O_C3_RAW,True,215
L2RAR2_R24_BOUNDARY_00_896000,250000000,L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__O_C3_RAW,True,215
L2RAR2_R24_BOUNDARY_00_896000,500000000,L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__O_C3_RAW,True,215
L2RAR2_R24_BOUNDARY_00_896000,750000000,L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__O_C3_RAW,True,215
L2RAR2_R24_BOUNDARY_00_896000,1000000000,L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__O_C3_RAW,True,215
