episode_id,root_family_id,case_id,arm_id,reference_state,raw_duration_ns,pre_action_duration_ns,post_onset_available_ns,actual_physics_step_count,actual_visual_count,actual_visual_interval_min_ns,actual_visual_interval_median_ns,actual_visual_interval_max_ns,same_time_group_count,missing_intervals_gt_100ms,baseline_available,censor_reason,can_score_100ms,can_score_250ms,can_score_500ms,can_score_750ms,can_score_1000ms
L2RAR2_R24_BOUNDARY_00_896000__R24C1_delayed_contact_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000,R24C1_delayed_contact_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,9099999999,2700000000,220000000,194,183,50000000,50000000.0,50000000,11,0,True,RIGHT_CENSORED,True,False,False,False,False
L2RAR2_R24_BOUNDARY_00_896000__R24C1_delayed_contact_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000,R24C1_delayed_contact_loss,O_C3_RAW,UNRESOLVED,9049999999,2650000000,,193,182,50000000,50000000,50000000,11,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_00_896000__R24C1_delayed_contact_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000,R24C1_delayed_contact_loss,RECOVERY_DISABLED,LOSS,2699999999,2700000000,220000000,59,55,50000000,50000000.0,50000000,4,0,True,RIGHT_CENSORED,True,False,False,False,False
L2RAR2_R24_BOUNDARY_00_896000__R24C2_loss_signal_missing__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000,R24C2_loss_signal_missing,O_C3_CLP3_CANONICAL_TIME,LOSS,3299999999,3300000000,820000000,71,67,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,False
L2RAR2_R24_BOUNDARY_00_896000__R24C2_loss_signal_missing__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000,R24C2_loss_signal_missing,O_C3_RAW,LOSS,3299999999,3300000000,820000000,71,67,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,False
L2RAR2_R24_BOUNDARY_00_896000__R24C2_loss_signal_missing__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000,R24C2_loss_signal_missing,RECOVERY_DISABLED,LOSS,3299999999,3300000000,820000000,71,67,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,False
L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000,R24C3_partial_slip,O_C3_CLP3_CANONICAL_TIME,UNRESOLVED,6799999999,6800000000,,146,137,50000000,50000000.0,50000000,9,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000,R24C3_partial_slip,O_C3_RAW,UNRESOLVED,8549999999,2150000000,,183,172,50000000,50000000,50000000,11,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000,R24C3_partial_slip,RECOVERY_DISABLED,UNRESOLVED,6799999999,6800000000,,146,137,50000000,50000000.0,50000000,9,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000,R24C4_multisource_missing_then_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,3299999999,3300000000,820000000,71,67,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,False
