metric,method,task_id,orientation,seed_group,mean,ci_low,ci_high,bootstrap_unit,n_units,n_episode_rows
control_monotonicity,sequential_transition_oracle,transport_dual_order,A_first,None,0.9957983193277311,0.9915966386554622,1.0,content_group_id,2,2
control_forward_sign_accuracy,sequential_transition_oracle,transport_dual_order,A_first,None,1.0,1.0,1.0,content_group_id,2,2
control_terminal_progress,sequential_transition_oracle,transport_dual_order,A_first,None,1.0,1.0,1.0,content_group_id,2,2
alternative_legal_negative_rate,sequential_transition_oracle,transport_dual_order,A_first,None,0.5,0.5,0.5,content_group_id,1,2
control_monotonicity,sequential_transition_oracle,transport_dual_order,B_first,None,0.9957983193277311,0.9915966386554622,1.0,content_group_id,2,2
control_forward_sign_accuracy,sequential_transition_oracle,transport_dual_order,B_first,None,0.8333333333333333,0.6666666666666666,1.0,content_group_id,2,2
control_terminal_progress,sequential_transition_oracle,transport_dual_order,B_first,None,1.0,1.0,1.0,content_group_id,2,2
alternative_legal_negative_rate,sequential_transition_oracle,transport_dual_order,B_first,None,0.0,0.0,0.0,content_group_id,1,2
control_monotonicity,sequential_transition_oracle,transport_recovery,recovery_chain,None,0.9948287007110539,0.9936974789915969,0.9959599224305108,content_group_id,52,52
control_forward_sign_accuracy,sequential_transition_oracle,transport_recovery,recovery_chain,None,1.0,1.0,1.0,content_group_id,52,52
control_terminal_progress,sequential_transition_oracle,transport_recovery,recovery_chain,None,0.8269230769230769,0.7403846153846154,0.8993990384615366,content_group_id,52,52
recovery_local_positive,sequential_transition_oracle,transport_recovery,recovery_chain,None,0.0,0.0,0.0,content_group_id,20,52
recovery_rank_error,sequential_transition_oracle,transport_recovery,recovery_chain,None,1.0,1.0,1.0,content_group_id,20,52
recovery_delay_steps,sequential_transition_oracle,transport_recovery,recovery_chain,None,21.0,21.0,21.0,content_group_id,20,52
cycle_net_reward,sequential_transition_oracle,transport_recovery,recovery_chain,None,-0.25,-0.25,-0.25,content_group_id,20,52
control_monotonicity,learned_linear_sarm,transport_recovery,recovery_chain,20260903,0.9200064641241111,0.9096598254686489,0.9305106658047831,content_group_id,52,52
control_forward_sign_accuracy,learned_linear_sarm,transport_recovery,recovery_chain,20260903,0.8076923076923074,0.7557692307692307,0.8576923076923074,content_group_id,52,52
control_terminal_progress,learned_linear_sarm,transport_recovery,recovery_chain,20260903,0.9858269920715919,0.9858255225018813,0.9858285808219359,content_group_id,52,52
