artifact,method_or_variant,metric,reproduced,reference,difference,tolerance,comparison_status,reason
reward_main,learned_linear_sarm,node_macro_f1,0.7348406699430963,0.7348406699430963,0.0,8.348406699430964e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,learned_linear_sarm,edge_type_macro_f1_non_none,0.6200716845878137,0.6200716845878137,0.0,7.200716845878137e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,learned_linear_sarm,phi_mae,0.15070918833828953,0.15070918874982267,-4.11533140898257e-10,2.5070918874982265e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,learned_linear_sarm,cost_mae,0.16663568494860112,0.16663568437707155,5.715295736674619e-10,2.6663568437707155e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,learned_linear_sarm,legal_path_normalized_gap,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,learned_linear_sarm,failure_negative_rate,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,learned_linear_sarm,recovery_positive_rate,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,learned_linear_sarm,loop_nonpositive_rate,1.0,1.0,0.0,1.1000000000000001e-05,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,learned_linear_sarm,positive_loop_rate,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,learned_linear_sarm,success_failure_margin,0.3237798511981964,0.3237798511981964,0.0,4.237798511981964e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,learned_linear_sarm,fixed_order_drop,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,linear_time_fraction,node_macro_f1,0.7348406699430963,0.7348406699430963,0.0,8.348406699430964e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,linear_time_fraction,edge_type_macro_f1_non_none,0.6200716845878137,0.6200716845878137,0.0,7.200716845878137e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,linear_time_fraction,phi_mae,0.15070918833828953,0.15070918874982267,-4.11533140898257e-10,2.5070918874982265e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,linear_time_fraction,cost_mae,0.16663568494860112,0.16663568437707155,5.715295736674619e-10,2.6663568437707155e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,linear_time_fraction,legal_path_normalized_gap,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,linear_time_fraction,failure_negative_rate,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,linear_time_fraction,recovery_positive_rate,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
