variant_id,A_first_return,B_first_return,legal_path_normalized_gap,recovery_positive_rate_controlled,failure_negative_rate_controlled,recovery_overshoot_rate_controlled,recovery_positive_rate_real_test,within_node_reward_density_real_test,return_mean_real_test,statistics_unit,provenance
full_locked,3.0,3.0,0.0,0.5,1.0,0.0,0.75,0.8142857142857143,2.2114246521049585,content_group_id,stage8_recomputed_real_test_plus_frozen_controlled_symbolic_stress
collapse_alternative_to_A_first,3.0,0.0,1.0,0.5,1.0,0.0,0.75,0.8142857142857143,2.2114246521049585,content_group_id,stage8_recomputed_real_test_plus_frozen_controlled_symbolic_stress
collapse_alternative_to_B_first,0.0,3.0,1.0,0.5,1.0,0.0,0.75,0.8142857142857143,2.2114246521049585,content_group_id,stage8_recomputed_real_test_plus_frozen_controlled_symbolic_stress
remove_recovery_edge,3.0,3.0,0.0,0.0,1.0,0.0,0.75,0.8142857142857143,2.2114246521049585,content_group_id,stage8_recomputed_real_test_plus_frozen_controlled_symbolic_stress
no_recovery_debt_cap,3.0,3.0,0.0,1.0,1.0,1.0,1.0,0.8197278911564626,2.254398975139245,content_group_id,stage8_recomputed_real_test_plus_frozen_controlled_symbolic_stress
no_phi,3.0,3.0,0.0,0.5,1.0,0.0,0.75,0.8142857142857143,0.8779751543815321,content_group_id,stage8_recomputed_real_test_plus_frozen_controlled_symbolic_stress
cost_only,3.0,3.0,0.0,1.0,1.0,1.0,1.0,0.8197278911564626,0.9209494774158185,content_group_id,stage8_recomputed_real_test_plus_frozen_controlled_symbolic_stress
