auto_recovery_recall,auto_unresolved_rate,high_impact_cases,reference_recovery_recall,reference_unresolved_rate,root_family_id,rule_recovery_recall,split
,1.0,35,,1.0,u4b_v1_00,,dev_fit
1.0,0.8536585365853658,41,1.0,0.8536585365853658,u4b_v1_01,0.0,dev_fit
1.0,0.7209302325581395,43,1.0,0.7209302325581395,u4b_v1_02,0.0,dev_fit
,1.0,36,,1.0,u4b_v1_03,,dev_fit
,0.0,4,,0.0,u4b_v1_04,,dev_fit
,1.0,33,,1.0,u4b_v1_05,,dev_fit
,1.0,4,,1.0,u4b_v1_06,,dev_fit
,0.6666666666666666,6,,0.6666666666666666,u4b_v1_07,,dev_fit
0.5,0.375,16,0.5,0.375,u4b_v1_08,0.0,dev_fit
,1.0,4,,1.0,u4b_v1_09,,dev_fit
,0.0,4,,0.0,u4b_v1_10,,dev_fit
,1.0,4,,1.0,u4b_v1_11,,dev_fit
,1.0,33,,1.0,u4b_v1_12,,dev_route
1.0,0.8571428571428571,35,1.0,0.8571428571428571,u4b_v1_13,0.0,dev_route
1.0,0.7391304347826086,46,1.0,0.7391304347826086,u4b_v1_14,0.0,dev_route
,1.0,32,,1.0,u4b_v1_15,,dev_route
,0.0,4,,0.0,u4b_v1_16,,dev_route
,1.0,28,,1.0,u4b_v1_17,,dev_route
,1.0,4,,1.0,u4b_v1_18,,dev_route
,0.6666666666666666,6,,0.6666666666666666,u4b_v1_19,,dev_route
0.5,0.375,16,0.5,0.375,u4b_v1_20,0.0,dev_route
,1.0,4,,1.0,u4b_v1_21,,dev_route
,0.0,4,,0.0,u4b_v1_22,,dev_route
,1.0,4,,1.0,u4b_v1_23,,dev_route
