method,task_id,orientation,seed_group,n_content_groups,control_monotonicity,control_forward_sign_accuracy,control_terminal_progress,alternative_legal_negative_rate,recovery_positive_rate,recovery_rank_error,recovery_delay_steps,cycle_positive_rate,success_reward_point_biserial,success_reward_spearman
learned_linear_sarm,transport_dual_order,A_first,20260903,2,0.9915966386554622,1.0,0.9860149621963501,0.0,,,,,,
learned_linear_sarm,transport_dual_order,A_first,20260904,2,1.0,1.0,0.9851460456848145,0.0,,,,,,
learned_linear_sarm,transport_dual_order,A_first,20260905,2,1.0,1.0,0.9854140281677246,0.0,,,,,,
learned_linear_sarm,transport_dual_order,B_first,20260903,2,1.0,1.0,0.9900584816932678,0.0,,,,,,
learned_linear_sarm,transport_dual_order,B_first,20260904,2,0.9831932773109244,1.0,0.9899787902832031,0.0,,,,,,
learned_linear_sarm,transport_dual_order,B_first,20260905,2,0.9873949579831933,1.0,0.9895426034927368,0.0,,,,,,
linear_time_fraction,transport_dual_order,none,None,2,1.0,1.0,1.0,0.0,,,,,,
linear_time_fraction,transport_recovery,none,None,52,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,,
oracle_linear_chain,transport_dual_order,A_first,None,2,0.9957983193277311,0.5,1.3333333333333333,0.5,,,,,,
oracle_linear_chain,transport_dual_order,B_first,None,2,0.9957983193277311,0.3333333333333333,1.3333333333333333,0.0,,,,,,
oracle_linear_chain,transport_recovery,recovery_chain,None,52,0.9915966386554622,0.0,1.0769230769230769,,0.0,1.0,21.0,0.0,0.9999999999999988,0.9999999999999999
sequential_transition_oracle,transport_dual_order,A_first,None,2,0.9957983193277311,1.0,1.0,0.5,,,,,,
sequential_transition_oracle,transport_dual_order,B_first,None,2,0.9957983193277311,0.8333333333333333,1.0,0.0,,,,,,
sequential_transition_oracle,transport_recovery,recovery_chain,None,52,0.9948287007110539,1.0,0.8269230769230769,,0.0,1.0,21.0,0.0,0.9999999999999988,0.9999999999999999
learned_linear_sarm,transport_recovery,recovery_chain,20260903,52,0.9200064641241111,0.8076923076923074,0.9858269920715919,,1.0,0.0,0.0,1.0,-0.17217096882592284,-0.09826688295056774
learned_linear_sarm,transport_recovery,recovery_chain,20260904,52,0.9345507433742727,1.0,0.987449960066722,,1.0,0.0,0.0,1.0,-0.19279891024172058,-0.12942883975070435
learned_linear_sarm,transport_recovery,recovery_chain,20260905,52,0.9203296703296703,0.8076923076923074,0.9784068705943915,,1.0,0.0,0.0,1.0,-0.1633678775293308,-0.10074276444975667
