episode_id,content_group_id,task_id,scenario,case_type,outcome,method,orientation,seed,cumulative_reward,control_monotonicity,control_forward_sign_accuracy,control_terminal_progress,terminal_progress,alternative_legal_negative_rate,time_fraction_failure_reward,outcome_success,failure_sign_accuracy,recovery_net_reward,recovery_local_positive,recovery_rank_error,recovery_delay_steps,cycle_net_reward,n_episode_rows
transport_recovery__0005,66e9524f274ef99f,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260903,0.7523711621761322,0.957983193277311,1.0,0.985831081867218,0.985831081867218,,,1.0,,,,,,,1
transport_recovery__0006,ea43d5392b366608,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260903,0.7522579431533813,0.9495798319327731,1.0,0.9858361482620239,0.9858361482620239,,,1.0,,,,,,,1
transport_recovery__0007,1c73f1887e153691,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260903,0.7524902671575546,0.957983193277311,1.0,0.9858286380767822,0.9858286380767822,,,1.0,,,,,,,1
transport_recovery__0008,5693f89cc383bd64,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260903,0.7523891776800156,0.957983193277311,1.0,0.9858361482620239,0.9858361482620239,,,1.0,,,,,,,1
transport_recovery__0009,1adab7de79a087b3,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260903,0.7523290365934372,0.9495798319327731,1.0,0.9858340620994568,0.9858340620994568,,,1.0,,,,,,,1
transport_recovery__0010,f9f56194a3c4cb04,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260903,0.7525277882814407,0.957983193277311,1.0,0.9858338236808777,0.9858338236808777,,,1.0,,,,,,,1
transport_recovery__0011,c00409929997554a,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260903,0.7524089515209198,0.9411764705882353,1.0,0.9858185648918152,0.9858185648918152,,,1.0,,,,,,,1
transport_recovery__0012,7138dc8d62bfd4ec,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260903,0.7523933947086334,0.9495798319327731,1.0,0.9858306050300598,0.9858306050300598,,,1.0,,,,,,,1
transport_recovery__0013,58fa7ac9b1b05129,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260903,0.7524442821741104,0.9495798319327731,1.0,0.9858307242393494,0.9858307242393494,,,1.0,,,,,,,1
transport_recovery__0014,7d8b707649897a38,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260903,0.7522422820329666,0.957983193277311,1.0,0.9858303666114807,0.9858303666114807,,,1.0,,,,,,,1
transport_recovery__0015,1a896b3ca64ea745,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260903,0.752605602145195,0.9747899159663865,1.0,0.9858275651931763,0.9858275651931763,,,1.0,,,,,,,1
transport_recovery__0016,36bf104029b650b0,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260903,0.7525667548179626,0.9747899159663865,1.0,0.9858270883560181,0.9858270883560181,,,1.0,,,,,,,1
transport_recovery__0017,7c8b4b934da89a5d,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260903,0.7525913715362549,0.957983193277311,1.0,0.9858286380767822,0.9858286380767822,,,1.0,,,,,,,1
transport_recovery__0018,2ee86b3c50400e39,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260903,0.7524213194847107,0.957983193277311,1.0,0.9858333468437195,0.9858333468437195,,,1.0,,,,,,,1
transport_recovery__0019,66b4fa500b5d61be,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260903,0.7526293694972992,0.957983193277311,1.0,0.985832929611206,0.985832929611206,,,1.0,,,,,,,1
transport_recovery__0000,48192627e0ecdae9,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260904,0.7439654469490051,0.9747899159663865,1.0,0.9874516129493713,0.9874516129493713,,,1.0,,,,,,,1
transport_recovery__0001,4cfce12dac6f1852,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260904,0.7434819340705872,0.9663865546218487,1.0,0.9874502420425415,0.9874502420425415,,,1.0,,,,,,,1
transport_recovery__0002,837420c3bbd731ac,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260904,0.743756040930748,0.9663865546218487,1.0,0.9874634742736816,0.9874634742736816,,,1.0,,,,,,,1
transport_recovery__0003,2f640d3128f9a261,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260904,0.7436990588903427,0.9831932773109243,1.0,0.9874353408813477,0.9874353408813477,,,1.0,,,,,,,1
transport_recovery__0004,ae210ba3a43c0910,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260904,0.7436834275722504,0.957983193277311,1.0,0.9874570965766907,0.9874570965766907,,,1.0,,,,,,,1
transport_recovery__0005,66e9524f274ef99f,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260904,0.7436635494232178,0.9663865546218487,1.0,0.9874569773674011,0.9874569773674011,,,1.0,,,,,,,1
transport_recovery__0006,ea43d5392b366608,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260904,0.7435817569494247,0.9495798319327731,1.0,0.9874529242515564,0.9874529242515564,,,1.0,,,,,,,1
transport_recovery__0007,1c73f1887e153691,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260904,0.7439086139202118,0.9747899159663865,1.0,0.9874430298805237,0.9874430298805237,,,1.0,,,,,,,1
transport_recovery__0008,5693f89cc383bd64,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260904,0.7435195595026016,0.9747899159663865,1.0,0.9874629378318787,0.9874629378318787,,,1.0,,,,,,,1
transport_recovery__0009,1adab7de79a087b3,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260904,0.7436079829931259,0.957983193277311,1.0,0.9874619841575623,0.9874619841575623,,,1.0,,,,,,,1
transport_recovery__0010,f9f56194a3c4cb04,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260904,0.7439693063497543,0.9663865546218487,1.0,0.9874590635299683,0.9874590635299683,,,1.0,,,,,,,1
transport_recovery__0011,c00409929997554a,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260904,0.7437174469232559,0.957983193277311,1.0,0.9874346852302551,0.9874346852302551,,,1.0,,,,,,,1
transport_recovery__0012,7138dc8d62bfd4ec,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260904,0.7435172945261002,0.9663865546218487,1.0,0.987458348274231,0.987458348274231,,,1.0,,,,,,,1
transport_recovery__0013,58fa7ac9b1b05129,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260904,0.7438407838344574,0.9663865546218487,1.0,0.9874563813209534,0.9874563813209534,,,1.0,,,,,,,1
transport_recovery__0014,7d8b707649897a38,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260904,0.7432188838720322,0.9495798319327731,1.0,0.9874547719955444,0.9874547719955444,,,1.0,,,,,,,1
transport_recovery__0015,1a896b3ca64ea745,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260904,0.7440168410539627,0.9747899159663865,1.0,0.9874580502510071,0.9874580502510071,,,1.0,,,,,,,1
