method,orientation,seed,task_id,A_first_reward,B_first_reward,normalized_path_score_gap,orientation_swap_consistency
learned_linear_sarm,A_first_vs_B_first,20260903,transport_dual_order,0.5986687242984772,0.5986687242984772,0.0,1.0
learned_linear_sarm,A_first_vs_B_first,20260904,transport_dual_order,0.6904222071170807,0.6904222071170807,0.0,1.0
learned_linear_sarm,A_first_vs_B_first,20260905,transport_dual_order,0.727084755897522,0.727084755897522,0.0,1.0
linear_time_fraction,A_first_vs_B_first,None,transport_dual_order,1.0,1.0,0.0,1.0
oracle_linear_chain,A_first_vs_B_first,None,transport_dual_order,1.3333333333333333,1.3333333333333333,0.0,1.0
sequential_transition_oracle,A_first_vs_B_first,None,transport_dual_order,1.0,1.0,0.0,1.0
