ambiguous_guard_rate,bootstrap_resamples,bootstrap_unit,censored_horizon_count,eligible_family_count,failure_event_denominator,failure_event_precision,failure_event_recall,failure_terminal_f1,failure_terminal_precision,failure_terminal_recall,false_terminal_claim_rate,graph_id,guard_ambiguous_count,label_origin,occurrence_count,path,recovery_achieved_denominator,recovery_achieved_precision,recovery_achieved_recall,recovery_attempt_denominator,recovery_attempt_precision,recovery_attempt_recall,split,terminal_claim_coverage,terminal_failure_denominator,transition_coverage_macro,typed_occurrence_coverage,unknown_rate
0.0,5000,root_family_id,1,36,33,,0.0,,0.0,0.0,1.0,G1_single_label_v2,0,simulator_info.events_diagnostic_only,1540,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/conditional_graphs_v1/candidates/G1_single_label_v2.json,30,0.0,0.0,33,0.6825396825396824,0.5416666666666666,confirm,0.010115230154912693,24,1.0,0.3627580264026451,0.637241973597355
0.0,5000,root_family_id,1,36,33,,0.0,,0.0,0.0,1.0,G3_guard_rule_multigraph,0,simulator_info.events_diagnostic_only,1540,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/conditional_graphs_v1/candidates/G3_guard_rule_multigraph.json,30,,0.0,33,,0.0,confirm,0.010115230154912693,24,1.0,0.038774545127004144,0.961225454872996
