evidence,graph_task_success_gain,recovery_success_gain,improved_seed_count,claim_status,provenance
stage6,0.0666666666666667,0.16666666666666666,1,secondary_mixed,stage6_policy_evidence
stage6r1,0.0666666666666667,0.1666666666666666,1,secondary_mixed,stage6r1_policy_evidence
