epoch,loss,smooth_l1,rank_penalty
1,0.0757836103439331,0.0754237025976181,7.198087405413389e-05
2,0.07353277504444122,0.07338721305131912,2.9112612537574023e-05
3,0.07148990780115128,0.0713806301355362,2.1854870283277705e-05
4,0.06956421583890915,0.06943606585264206,2.5630499294493347e-05
5,0.06776302307844162,0.06760044395923615,3.2516087230760604e-05
6,0.06614965945482254,0.06594250351190567,4.143073965678923e-05
7,0.0645681619644165,0.06431018561124802,5.159558713785373e-05
8,0.06301078200340271,0.0627012550830841,6.19051861576736e-05
9,0.06142152100801468,0.06105831637978554,7.264103624038398e-05
10,0.05980146303772926,0.059384606778621674,8.337137842318043e-05
11,0.05814078450202942,0.057662155479192734,9.57260635914281e-05
12,0.0564163401722908,0.055877164006233215,0.00010783532343339175
13,0.054617203772068024,0.05401645228266716,0.00012014994717901573
14,0.052752625197172165,0.052083130925893784,0.00013389908417593688
15,0.050816528499126434,0.050070907920598984,0.0001491238217568025
16,0.048817794770002365,0.04798675701022148,0.00016620730457361788
17,0.04675504192709923,0.04583396390080452,0.0001842154306359589
18,0.04461771622300148,0.04360056668519974,0.00020342966308817267
19,0.04242881387472153,0.04130248725414276,0.0002252650010632351
20,0.040200114250183105,0.03895082697272301,0.00024985766503959894
21,0.03795979544520378,0.036568533629179,0.0002782525261864066
22,0.035734981298446655,0.03418451547622681,0.00031009293161332607
23,0.033540330827236176,0.03181545063853264,0.00034497567685320973
24,0.031401969492435455,0.02948213741183281,0.0003839661367237568
25,0.029358351603150368,0.027216140180826187,0.00042844220297411084
26,0.02743404544889927,0.025043651461601257,0.00047807887312956154
27,0.025670472532510757,0.02300000749528408,0.0005340931820683181
28,0.02410160005092621,0.021122310310602188,0.0005958581459708512
29,0.022758018225431442,0.01943943090736866,0.0006637172773480415
30,0.02163834124803543,0.01796529069542885,0.0007346100173890591
31,0.020737333223223686,0.016706297174096107,0.0008062071865424514
32,0.02002829872071743,0.015660829842090607,0.0008734938455745578
33,0.01946156471967697,0.014798633754253387,0.0009325863211415708
34,0.018972517922520638,0.014091390185058117,0.000976225477643311
35,0.018502723425626755,0.013498242013156414,0.0010008963290601969
36,0.01800496317446232,0.012994176708161831,0.0010021572234109044
37,0.017435582354664803,0.012560463510453701,0.0009750238386914134
38,0.01679292693734169,0.012189855799078941,0.0009206143440678716
39,0.016084644943475723,0.011875024996697903,0.0008419241639785469
40,0.015334442257881165,0.01161097176373005,0.0007446942036040127
41,0.014590349979698658,0.011398146860301495,0.0006384406588040292
42,0.013894285075366497,0.011231248266994953,0.000532607373315841
43,0.013310234993696213,0.011106902733445168,0.0004406664229463786
44,0.012819511815905571,0.01101677492260933,0.0003605472738854587
45,0.012422092258930206,0.010944029316306114,0.00029561249539256096
46,0.012141269631683826,0.010878662578761578,0.00025252136401832104
47,0.011863822117447853,0.010809066705405712,0.00021095111151225865
48,0.011661143973469734,0.010732841677963734,0.0001856604649219662
49,0.011489787138998508,0.010630683973431587,0.0001718206622172147
50,0.01129923202097416,0.010505367070436478,0.0001587730075698346
51,0.01110679842531681,0.010359988547861576,0.00014936197840142995
52,0.010905714705586433,0.01019967719912529,0.00014120741980150342
53,0.010698878206312656,0.010029219090938568,0.00013393189874477684
54,0.010487133637070656,0.0098587516695261,0.00012567639350891113
55,0.010277613066136837,0.009692607447504997,0.00011700116738211364
56,0.010073372162878513,0.009535621851682663,0.0001075500767910853
57,0.009876031428575516,0.009388221427798271,9.756204235600308e-05
58,0.009689956903457642,0.009248758666217327,8.823967073112726e-05
59,0.009521594271063805,0.009117119945585728,8.089477341854945e-05
60,0.0093693183735013,0.008995420299470425,7.477954204659909e-05
61,0.009218975901603699,0.008880792185664177,6.763674900867045e-05
62,0.009070069529116154,0.008771032094955444,5.980750574963167e-05
63,0.008926821872591972,0.00866665504872799,5.2033356041647494e-05
64,0.00878459494560957,0.00856822356581688,4.327422720962204e-05
65,0.008630934171378613,0.008473025634884834,3.158169784001075e-05
66,0.00846367422491312,0.008377800695598125,1.7174654203699902e-05
67,0.008290484547615051,0.008281886577606201,1.7195189911944908e-06
68,0.00818219780921936,0.00818219780921936,0.0
69,0.008057761937379837,0.008057761937379837,0.0
70,0.007912437431514263,0.007912437431514263,0.0
71,0.007751249708235264,0.007751249708235264,0.0
72,0.007580323610454798,0.007580323610454798,0.0
73,0.0074127730913460255,0.007403484079986811,1.8577616174297873e-06
74,0.007256281562149525,0.007239670027047396,3.322332986499532e-06
75,0.007086355704814196,0.007086355704814196,0.0
76,0.006924309767782688,0.006924309767782688,0.0
77,0.006755528040230274,0.006755528040230274,0.0
78,0.006596304010599852,0.0065816971473395824,2.9213790639914805e-06
79,0.006423469632863998,0.006423469632863998,0.0
80,0.006269355770200491,0.006269355770200491,0.0
