artifact_id,status,reason,n_observations,n_actions,n_transitions
transport_dual_order__B_first__016,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__017,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__018,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__019,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__020,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__021,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__022,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__023,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__024,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__025,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__026,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__027,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__028,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__029,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__030,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__031,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__032,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__033,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__034,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__035,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__036,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__037,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__038,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__039,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__040,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__041,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__042,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__043,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__044,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__045,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__046,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__047,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__048,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__049,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__050,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__051,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__052,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__053,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__054,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__055,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__056,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__057,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__058,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__059,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__060,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__061,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__062,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__063,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__064,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__065,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__066,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__067,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__068,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__069,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__070,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__071,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__072,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__073,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__074,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__075,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__076,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__077,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__078,canonicalized,actual_applied,16,16,15
transport_dual_order__B_first__079,canonicalized,actual_applied,16,16,15
transport_recovery__0000,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0001,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0002,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0003,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0004,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0005,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0006,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0007,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0008,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0009,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0010,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0011,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0012,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0013,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0014,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0015,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0016,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0017,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0018,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0019,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0020,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0021,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0022,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0023,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0024,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0025,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0026,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0027,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0028,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0029,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0030,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0031,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0032,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0033,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0034,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0035,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0036,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0037,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0038,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0039,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0040,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0041,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0042,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0043,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0044,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0045,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0046,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0047,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0048,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0049,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0050,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__0051,canonicalized,recorded_state_action_unverified,120,120,119
transport_recovery__controlled_failure__000,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__001,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__002,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__003,canonicalized,actual_applied,7,7,6
