artifact_id,status,reason,n_observations,n_actions,n_transitions
transport_recovery__natural__043,canonicalized,actual_applied,14,14,13
transport_recovery__natural__044,canonicalized,actual_applied,13,13,12
transport_recovery__natural__045,canonicalized,actual_applied,13,13,12
transport_recovery__natural__046,canonicalized,actual_applied,13,13,12
transport_recovery__natural__047,canonicalized,actual_applied,13,13,12
transport_recovery__natural__048,canonicalized,actual_applied,14,14,13
transport_recovery__natural__049,canonicalized,actual_applied,13,13,12
transport_recovery__natural__050,canonicalized,actual_applied,14,14,13
transport_recovery__natural__051,canonicalized,actual_applied,14,14,13
transport_recovery__natural__052,canonicalized,actual_applied,14,14,13
transport_recovery__natural__053,canonicalized,actual_applied,13,13,12
transport_recovery__natural__054,canonicalized,actual_applied,13,13,12
transport_recovery__natural__055,canonicalized,actual_applied,14,14,13
transport_recovery__natural__056,canonicalized,actual_applied,13,13,12
transport_recovery__natural__057,canonicalized,actual_applied,14,14,13
transport_recovery__natural__058,canonicalized,actual_applied,14,14,13
transport_recovery__natural__059,canonicalized,actual_applied,13,13,12
