episode_id,loss_id,closure,start,end,FULL_signed
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success:B:99:1,NO_OBSERVED_RETURN,98,,
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success:A:99:1,NO_OBSERVED_RETURN,98,,
P1V5_F00_920000__R2_loss_at_40pct_recover_success,P1V5_F00_920000__R2_loss_at_40pct_recover_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F00_920000__R3_loss_at_80pct_recover_success,P1V5_F00_920000__R3_loss_at_80pct_recover_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,P1V5_F00_920000__R4_three_cycles_at_40pct_then_success:obj:45:1,APPROXIMATE_TASK_RETURN,44,126,0.19117694422350753
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,P1V5_F00_920000__R4_three_cycles_at_40pct_then_success:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.19083823283982462
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,P1V5_F00_920000__R4_three_cycles_at_40pct_then_success:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,P1V5_F00_920000__R5_three_cycles_at_80pct_then_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,P1V5_F00_920000__R5_three_cycles_at_80pct_then_success:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.16761425801522478
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,P1V5_F00_920000__R5_three_cycles_at_80pct_then_success:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F00_920000__R6_three_closed_cycles_then_stop,P1V5_F00_920000__R6_three_closed_cycles_then_stop:obj:45:1,APPROXIMATE_TASK_RETURN,44,126,0.19117694422350753
P1V5_F00_920000__R6_three_closed_cycles_then_stop,P1V5_F00_920000__R6_three_closed_cycles_then_stop:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.19083823283982462
P1V5_F00_920000__R6_three_closed_cycles_then_stop,P1V5_F00_920000__R6_three_closed_cycles_then_stop:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success:B:99:1,NO_OBSERVED_RETURN,98,,
P1V5_F01_920001__D4_B_done_A_loss_recovery_then_success,P1V5_F01_920001__D4_B_done_A_loss_recovery_then_success:A:99:1,NO_OBSERVED_RETURN,98,,
P1V5_F01_920001__R2_loss_at_40pct_recover_success,P1V5_F01_920001__R2_loss_at_40pct_recover_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F01_920001__R3_loss_at_80pct_recover_success,P1V5_F01_920001__R3_loss_at_80pct_recover_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F01_920001__R4_three_cycles_at_40pct_then_success,P1V5_F01_920001__R4_three_cycles_at_40pct_then_success:obj:45:1,APPROXIMATE_TASK_RETURN,44,126,0.18373583829353105
P1V5_F01_920001__R4_three_cycles_at_40pct_then_success,P1V5_F01_920001__R4_three_cycles_at_40pct_then_success:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.1833905687199218
P1V5_F01_920001__R4_three_cycles_at_40pct_then_success,P1V5_F01_920001__R4_three_cycles_at_40pct_then_success:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F01_920001__R5_three_cycles_at_80pct_then_success,P1V5_F01_920001__R5_three_cycles_at_80pct_then_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F01_920001__R5_three_cycles_at_80pct_then_success,P1V5_F01_920001__R5_three_cycles_at_80pct_then_success:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.3461676452323424
P1V5_F01_920001__R5_three_cycles_at_80pct_then_success,P1V5_F01_920001__R5_three_cycles_at_80pct_then_success:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F01_920001__R6_three_closed_cycles_then_stop,P1V5_F01_920001__R6_three_closed_cycles_then_stop:obj:45:1,APPROXIMATE_TASK_RETURN,44,126,0.18373583829353105
P1V5_F01_920001__R6_three_closed_cycles_then_stop,P1V5_F01_920001__R6_three_closed_cycles_then_stop:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.1833905687199218
P1V5_F01_920001__R6_three_closed_cycles_then_stop,P1V5_F01_920001__R6_three_closed_cycles_then_stop:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F01_920001__R7_loss_recovery_started_not_completed_terminal,P1V5_F01_920001__R7_loss_recovery_started_not_completed_terminal:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F02_920002__D3_A_done_B_loss_recovery_then_success,P1V5_F02_920002__D3_A_done_B_loss_recovery_then_success:B:99:1,NO_OBSERVED_RETURN,98,,
P1V5_F02_920002__D4_B_done_A_loss_recovery_then_success,P1V5_F02_920002__D4_B_done_A_loss_recovery_then_success:A:99:1,NO_OBSERVED_RETURN,98,,
P1V5_F02_920002__R2_loss_at_40pct_recover_success,P1V5_F02_920002__R2_loss_at_40pct_recover_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F02_920002__R3_loss_at_80pct_recover_success,P1V5_F02_920002__R3_loss_at_80pct_recover_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F02_920002__R4_three_cycles_at_40pct_then_success,P1V5_F02_920002__R4_three_cycles_at_40pct_then_success:obj:45:1,APPROXIMATE_TASK_RETURN,44,126,0.14820354377322661
P1V5_F02_920002__R4_three_cycles_at_40pct_then_success,P1V5_F02_920002__R4_three_cycles_at_40pct_then_success:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.1478270803122493
P1V5_F02_920002__R4_three_cycles_at_40pct_then_success,P1V5_F02_920002__R4_three_cycles_at_40pct_then_success:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F02_920002__R5_three_cycles_at_80pct_then_success,P1V5_F02_920002__R5_three_cycles_at_80pct_then_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F02_920002__R5_three_cycles_at_80pct_then_success,P1V5_F02_920002__R5_three_cycles_at_80pct_then_success:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.13276296427163176
P1V5_F02_920002__R5_three_cycles_at_80pct_then_success,P1V5_F02_920002__R5_three_cycles_at_80pct_then_success:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F02_920002__R6_three_closed_cycles_then_stop,P1V5_F02_920002__R6_three_closed_cycles_then_stop:obj:45:1,APPROXIMATE_TASK_RETURN,44,126,0.14820354377322661
P1V5_F02_920002__R6_three_closed_cycles_then_stop,P1V5_F02_920002__R6_three_closed_cycles_then_stop:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.1478270803122493
P1V5_F02_920002__R6_three_closed_cycles_then_stop,P1V5_F02_920002__R6_three_closed_cycles_then_stop:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F02_920002__R7_loss_recovery_started_not_completed_terminal,P1V5_F02_920002__R7_loss_recovery_started_not_completed_terminal:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F03_920003__D3_A_done_B_loss_recovery_then_success,P1V5_F03_920003__D3_A_done_B_loss_recovery_then_success:B:99:1,NO_OBSERVED_RETURN,98,,
P1V5_F03_920003__D4_B_done_A_loss_recovery_then_success,P1V5_F03_920003__D4_B_done_A_loss_recovery_then_success:A:99:1,NO_OBSERVED_RETURN,98,,
