rollout_id,family_id,case_id,official_failure_stage,forensic_layer,signal_observed,candidate_action_events,outer_recovery_cycles,inner_recovery_loops,successful_recovery_executions,last_execution_failure_stage,hold_verification_passes,final_task_success,candidate_error
L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000,R24C6_relocation_error,RELOCATION_ERROR,RELOCATION_ERROR,True,1,1,2,0,RELOCATION_ERROR,0,False,False
L2RAR2_R24_BOUNDARY_01_896001__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001,R24C6_relocation_error,RELOCATION_ERROR,RELOCATION_ERROR,True,1,1,2,0,RELOCATION_ERROR,0,False,False
L2RAR2_R24_BOUNDARY_01_896001__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001,R24C8_secondary_loss,TASK_RECOVERY_ERROR,SECOND_LOSS_NOT_REARMED,True,1,1,1,1,,1,False,False
L2RAR2_R24_BOUNDARY_02_896002__R24C1_delayed_contact_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002,R24C1_delayed_contact_loss,TASK_RECOVERY_ERROR,POST_RECOVERY_GOAL_VERIFICATION_FAILED,True,1,1,1,1,,1,False,False
L2RAR2_R24_BOUNDARY_02_896002__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002,R24C6_relocation_error,RELOCATION_ERROR,RELOCATION_ERROR,True,1,1,2,0,RELOCATION_ERROR,0,False,False
L2RAR2_R24_BOUNDARY_02_896002__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002,R24C8_secondary_loss,TASK_RECOVERY_ERROR,SECOND_LOSS_NOT_REARMED,True,1,1,1,1,,1,False,False
L2RAR2_R24_BOUNDARY_03_896003__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003,R24C6_relocation_error,RELOCATION_ERROR,RELOCATION_ERROR,True,1,1,2,0,RELOCATION_ERROR,0,False,False
