clip_id,episode_id,start_t,end_t,root_family_id,strategy,seed,rank,budget,uncertainty,event_importance,model_disagreement,estimated_steps,predicted_event_id
formal_u2_family_050_r03:t031,formal_u2_family_050_r03,29,31,u2_family_050,expected_boundary_disagreement,641,1,15,1.6525201797485352,1.0,0.14143772139791289,3,0
formal_u2_family_014_r00:t029,formal_u2_family_014_r00,27,30,u2_family_014,expected_boundary_disagreement,641,2,15,1.6525201797485352,1.0,0.2492744930200894,4,0
formal_u2_family_014_r00:t030,formal_u2_family_014_r00,28,30,u2_family_014,expected_boundary_disagreement,641,3,15,1.6525201797485352,1.0,0.12107165139978959,3,0
formal_u2_family_025_r01:t028,formal_u2_family_025_r01,26,29,u2_family_025,expected_boundary_disagreement,641,4,15,1.6525201797485352,1.0,0.24449120922285206,4,0
formal_u2_family_073_r05:t047,formal_u2_family_073_r05,45,47,u2_family_073,expected_boundary_disagreement,641,5,15,1.3761587142944336,1.0,0.19172858328238654,3,6
formal_u2_family_062_r01:t025,formal_u2_family_062_r01,23,26,u2_family_062,expected_boundary_disagreement,641,6,15,1.6525201797485352,1.0,0.23882207885288492,4,0
formal_u2_family_061_r04:t030,formal_u2_family_061_r04,28,31,u2_family_061,expected_boundary_disagreement,641,7,15,1.6525201797485352,1.0,0.23844850176489826,4,0
formal_u2_family_061_r04:t031,formal_u2_family_061_r04,29,31,u2_family_061,expected_boundary_disagreement,641,8,15,1.6525201797485352,1.0,0.11610765446773282,3,0
formal_u2_family_007_r04:t024,formal_u2_family_007_r04,22,24,u2_family_007,expected_boundary_disagreement,641,9,15,1.6525201797485352,1.0,0.11480662418124522,3,0
formal_u2_family_050_r03:t030,formal_u2_family_050_r03,28,31,u2_family_050,expected_boundary_disagreement,641,10,15,1.6525201797485352,1.0,0.2337303282832259,4,0
formal_u2_family_062_r01:t026,formal_u2_family_062_r01,24,26,u2_family_062,expected_boundary_disagreement,641,11,15,1.6525201797485352,1.0,0.10497115364205313,3,0
formal_u2_family_080_r04:t025,formal_u2_family_080_r04,23,25,u2_family_080,expected_boundary_disagreement,641,12,15,1.6525201797485352,1.0,0.10441640639590008,3,0
formal_u2_family_025_r01:t029,formal_u2_family_025_r01,27,29,u2_family_025,expected_boundary_disagreement,641,13,15,1.6525201797485352,1.0,0.10424734022057486,3,0
formal_u2_family_068_r00:t023,formal_u2_family_068_r00,21,24,u2_family_068,expected_boundary_disagreement,641,14,15,1.6525201797485352,1.0,0.22200378067591084,4,0
formal_u2_family_002_r01:t024,formal_u2_family_002_r01,22,24,u2_family_002,expected_boundary_disagreement,641,15,15,1.6525201797485352,1.0,0.09988620000175703,3,0
