episode_id,method,evidence_tier,root_group_id,cost_contract_id,transitions,signed_return,positive_weight_sum,debt_after,mirror_max_error,clip_count,recovery_cap_count,closed_in_supplied_z_cost_phi,positive_closed_return
L2P_00_00_220701_r00,SPARSE_TERMINAL,CAUSAL_STATE_REPLAY,L2P_00_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,12,1.0,1.0,0.0,0.0,0,0,False,False
L2P_00_00_220701_r00,LINEAR_FIXED_ORDER,CAUSAL_STATE_REPLAY,L2P_00_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,12,1.0,1.0,0.0,0.0,0,0,False,False
L2P_00_00_220701_r00,UNORDERED_COMPLETION_PROGRESS,CAUSAL_STATE_REPLAY,L2P_00_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,12,1.0,1.0,0.0,0.0,0,0,False,False
L2P_00_00_220701_r00,GRAPH_COST_ONLY,CAUSAL_STATE_REPLAY,L2P_00_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0,0,False,False
L2P_00_00_220701_r00,GRAPH_COST_PHI,CAUSAL_STATE_REPLAY,L2P_00_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,12,1.1573635342845783,1.1573635342845783,0.0,0.0,0,0,False,False
L2P_00_00_220701_r00,GRAPH_COST_DEBT,CAUSAL_STATE_REPLAY,L2P_00_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0,0,False,False
L2P_00_00_220701_r00,FULL_FROZEN,CAUSAL_STATE_REPLAY,L2P_00_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,12,1.1573635342845783,1.1573635342845783,0.0,0.0,0,0,False,False
L2P_00_00_220701_r00,NO_RECOVERY_CREDIT,CAUSAL_STATE_REPLAY,L2P_00_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,12,1.1573635342845783,1.1573635342845783,0.0,0.0,0,0,False,False
L2P_03_00_220701_r00,SPARSE_TERMINAL,CAUSAL_STATE_REPLAY,L2P_03_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,13,1.0,1.0,0.0,0.0,0,0,False,False
L2P_03_00_220701_r00,LINEAR_FIXED_ORDER,CAUSAL_STATE_REPLAY,L2P_03_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,13,1.0,1.0,0.0,0.0,0,0,False,False
L2P_03_00_220701_r00,UNORDERED_COMPLETION_PROGRESS,CAUSAL_STATE_REPLAY,L2P_03_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,13,1.0,1.0,0.0,0.0,0,0,False,False
L2P_03_00_220701_r00,GRAPH_COST_ONLY,CAUSAL_STATE_REPLAY,L2P_03_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,13,0.6666666666666666,0.6666666666666666,0.0,0.0,0,0,False,False
L2P_03_00_220701_r00,GRAPH_COST_PHI,CAUSAL_STATE_REPLAY,L2P_03_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,13,1.157668282368346,1.157668282368346,0.0,0.0,0,0,False,False
L2P_03_00_220701_r00,GRAPH_COST_DEBT,CAUSAL_STATE_REPLAY,L2P_03_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,13,0.6666666666666666,0.6666666666666666,0.0,0.0,0,0,False,False
L2P_03_00_220701_r00,FULL_FROZEN,CAUSAL_STATE_REPLAY,L2P_03_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,13,1.157668282368346,1.157668282368346,0.0,0.0,0,0,False,False
L2P_03_00_220701_r00,NO_RECOVERY_CREDIT,CAUSAL_STATE_REPLAY,L2P_03_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,13,1.157668282368346,1.157668282368346,0.0,0.0,0,0,False,False
L2P_02_00_220701_r00,SPARSE_TERMINAL,CAUSAL_STATE_REPLAY,L2P_02_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,12,1.0,1.0,0.0,0.0,0,0,False,False
L2P_02_00_220701_r00,LINEAR_FIXED_ORDER,CAUSAL_STATE_REPLAY,L2P_02_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,12,1.0,1.0,0.0,0.0,0,0,False,False
L2P_02_00_220701_r00,UNORDERED_COMPLETION_PROGRESS,CAUSAL_STATE_REPLAY,L2P_02_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,12,1.0,1.0,0.0,0.0,0,0,False,False
L2P_02_00_220701_r00,GRAPH_COST_ONLY,CAUSAL_STATE_REPLAY,L2P_02_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0,0,False,False
L2P_02_00_220701_r00,GRAPH_COST_PHI,CAUSAL_STATE_REPLAY,L2P_02_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,12,1.1057819317724151,1.1057819317724151,0.0,0.0,0,0,False,False
L2P_02_00_220701_r00,GRAPH_COST_DEBT,CAUSAL_STATE_REPLAY,L2P_02_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0,0,False,False
L2P_02_00_220701_r00,FULL_FROZEN,CAUSAL_STATE_REPLAY,L2P_02_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,12,1.1057819317724151,1.1057819317724151,0.0,0.0,0,0,False,False
L2P_02_00_220701_r00,NO_RECOVERY_CREDIT,CAUSAL_STATE_REPLAY,L2P_02_00_220701,P1_NORMALIZED_RUNTIME_GRAPH_V1,12,1.1057819317724151,1.1057819317724151,0.0,0.0,0,0,False,False
