additional_fallback_clips,additional_fallback_frames,condition,shared_calibration_families,shared_calibration_frames
0,0,instruction_only,0,0
0,0,instruction_plus_auto_train_segments,8,1108
30,135,instruction_plus_budgeted_train_fallback,8,1108
