condition,deepseek_candidate_id,edge_semantic_jaccard,graph_distance,node_predicate_jaccard,qwen_candidate_id,status
instruction_only,deepseek:instruction_only_r01,0.0,0.91666667,0.16666667,qwen:instruction_only_r01,structural_crosscheck_only
instruction_plus_budgeted_train_fallback,deepseek:instruction_plus_budgeted_train_fallback_r01,0.0,0.91666667,0.16666667,qwen:instruction_plus_budgeted_train_fallback_r01,structural_crosscheck_only
