additional_fallback_clips,additional_fallback_frames,candidate_count,condition,eligible_count,grounding_score_mean,observability_score_mean,preliminary_score_mean,shared_calibration_families,shared_calibration_frames,simplicity_score_mean,transition_score_mean,unknown_score_mean
0,0,4,instruction_only,2,not_applicable,1.0,0.95548611,0,0,0.8,not_applicable,0.98194444
0,0,2,instruction_plus_auto_train_segments,0,not_estimable,not_estimable,not_estimable,8,1108,not_estimable,not_estimable,not_estimable
30,135,3,instruction_plus_budgeted_train_fallback,0,not_estimable,not_estimable,not_estimable,8,1108,not_estimable,not_estimable,not_estimable
