candidate_id,cluster_handle,family_support_score,grounding_status,history_score,node_id,predicate_score,raw_cluster_id,role_score,score,thresholds
qwen:instruction_only_r01,C10,0.16666667,grounded_candidate,0.5,n_approach,0.66666667,10,1.0,0.63333333,0.35;0.5;0.65
qwen:instruction_only_r01,C03,0.94047619,grounded_candidate,0.5,n_approach,0.25,3,1.0,0.54107143,0.35;0.5;0.65
qwen:instruction_only_r01,C00,0.0952381,grounded_candidate,0.5,n_approach,0.5,0,1.0,0.53928571,0.35;0.5;0.65
qwen:instruction_only_r01,C03,0.94047619,grounded_candidate,0.5,n_contact_engaged,0.25,3,0.8,0.50107143,0.35;0.5;0.65
qwen:instruction_only_r01,C02,0.83333333,grounded_candidate,0.5,n_contact_engaged,0.16666667,2,0.8,0.44333333,0.35;0.5;0.65
qwen:instruction_only_r01,C01,0.41666667,grounded_candidate,0.5,n_contact_engaged,0.25,1,0.8,0.4225,0.35;0.5;0.65
qwen:instruction_only_r01,C03,0.94047619,grounded_candidate,0.4,n_contact_lost,0.25,3,0.8,0.48607143,0.35;0.5;0.65
qwen:instruction_only_r01,C02,0.83333333,grounded_candidate,0.4,n_contact_lost,0.16666667,2,0.8,0.42833333,0.35;0.5;0.65
qwen:instruction_only_r01,C08,0.33333333,grounded_candidate,0.9,n_contact_lost,0.16666667,8,0.8,0.42833333,0.35;0.5;0.65
qwen:instruction_only_r01,C10,0.16666667,grounded_candidate,0.5,n_recovery,0.33333333,10,0.8,0.42666667,0.35;0.5;0.65
qwen:instruction_only_r01,C08,0.33333333,grounded_candidate,0.5,n_recovery,0.2,8,0.8,0.385,0.35;0.5;0.65
qwen:instruction_only_r01,C03,0.94047619,grounded_candidate,0.5,n_recovery,0.0,3,0.8,0.37607143,0.35;0.5;0.65
qwen:instruction_only_r01,C10,0.16666667,grounded_candidate,0.8,n_detour,0.25,10,0.8,0.43,0.35;0.5;0.65
qwen:instruction_only_r01,C00,0.0952381,grounded_candidate,0.8,n_detour,0.2,0,0.8,0.39428571,0.35;0.5;0.65
qwen:instruction_only_r01,C03,0.94047619,grounded_candidate,0.5,n_detour,0.0,3,0.8,0.37607143,0.35;0.5;0.65
qwen:instruction_only_r01,C02,0.83333333,unresolved_no_match,0.5,n_success,0.2,2,0.17191887,0.33438377,0.35;0.5;0.65
qwen:instruction_only_r01,C09,0.41666667,unresolved_no_match,0.5,n_success,0.2,9,0.16003533,0.26950707,0.35;0.5;0.65
qwen:instruction_only_r01,C03,0.94047619,unresolved_no_match,0.5,n_success,0.0,3,0.0,0.21607143,0.35;0.5;0.65
qwen:instruction_only_r01,C05,0.64285714,unresolved_no_match,0.5,n_failure_collision,0.25,5,0.20573991,0.33757655,0.35;0.5;0.65
qwen:instruction_only_r01,C04,0.41666667,unresolved_no_match,0.5,n_failure_collision,0.33333333,4,0.1,0.32416667,0.35;0.5;0.65
qwen:instruction_only_r01,C08,0.33333333,unresolved_no_match,0.5,n_failure_collision,0.25,8,0.25244733,0.30048947,0.35;0.5;0.65
qwen:instruction_only_r01,C03,0.94047619,unresolved_no_match,0.5,n_failure_stagnation,0.0,3,0.01715209,0.21950185,0.35;0.5;0.65
qwen:instruction_only_r01,C05,0.64285714,unresolved_no_match,0.5,n_failure_stagnation,0.0,5,0.20573991,0.21257655,0.35;0.5;0.65
qwen:instruction_only_r01,C02,0.83333333,unresolved_no_match,0.5,n_failure_stagnation,0.0,2,0.02085793,0.20417159,0.35;0.5;0.65
qwen:instruction_only_r02,C10,0.16666667,grounded_candidate,0.5,n_approach,0.5,10,1.0,0.55,0.35;0.5;0.65
qwen:instruction_only_r02,C03,0.94047619,grounded_candidate,0.5,n_approach,0.2,3,1.0,0.51607143,0.35;0.5;0.65
qwen:instruction_only_r02,C08,0.33333333,grounded_candidate,0.5,n_approach,0.33333333,8,1.0,0.49166667,0.35;0.5;0.65
qwen:instruction_only_r02,C03,0.94047619,grounded_candidate,0.5,n_contact_made,0.25,3,0.8,0.50107143,0.35;0.5;0.65
qwen:instruction_only_r02,C02,0.83333333,grounded_candidate,0.5,n_contact_made,0.16666667,2,0.8,0.44333333,0.35;0.5;0.65
qwen:instruction_only_r02,C01,0.41666667,grounded_candidate,0.5,n_contact_made,0.25,1,0.8,0.4225,0.35;0.5;0.65
qwen:instruction_only_r02,C03,0.94047619,grounded_candidate,0.4,n_contact_lost,0.2,3,0.8,0.46107143,0.35;0.5;0.65
qwen:instruction_only_r02,C02,0.83333333,grounded_candidate,0.4,n_contact_lost,0.14285714,2,0.8,0.41642857,0.35;0.5;0.65
qwen:instruction_only_r02,C08,0.33333333,grounded_candidate,0.9,n_contact_lost,0.14285714,8,0.8,0.41642857,0.35;0.5;0.65
qwen:instruction_only_r02,C04,0.41666667,grounded_candidate,0.5,n_collision,0.66666667,4,0.1,0.49083333,0.35;0.5;0.65
qwen:instruction_only_r02,C05,0.64285714,grounded_candidate,0.5,n_collision,0.5,5,0.20573991,0.46257655,0.35;0.5;0.65
qwen:instruction_only_r02,C00,0.0952381,grounded_candidate,0.5,n_collision,0.66666667,0,0.1,0.44261905,0.35;0.5;0.65
qwen:instruction_only_r02,C10,0.16666667,grounded_candidate,0.8,n_stagnation,0.66666667,10,0.05174352,0.48868204,0.35;0.5;0.65
qwen:instruction_only_r02,C00,0.0952381,grounded_candidate,0.8,n_stagnation,0.5,0,0.1,0.40428571,0.35;0.5;0.65
qwen:instruction_only_r02,C08,0.33333333,grounded_candidate,0.5,n_stagnation,0.4,8,0.25244733,0.37548947,0.35;0.5;0.65
qwen:instruction_only_r02,C03,0.94047619,grounded_candidate,0.5,n_recovery,0.25,3,0.8,0.50107143,0.35;0.5;0.65
qwen:instruction_only_r02,C02,0.83333333,grounded_candidate,0.5,n_recovery,0.16666667,2,0.8,0.44333333,0.35;0.5;0.65
qwen:instruction_only_r02,C08,0.33333333,grounded_candidate,0.9,n_recovery,0.16666667,8,0.8,0.42833333,0.35;0.5;0.65
qwen:instruction_only_r02,C02,0.83333333,unresolved_no_match,0.5,n_goal_reached,0.2,2,0.17191887,0.33438377,0.35;0.5;0.65
qwen:instruction_only_r02,C09,0.41666667,unresolved_no_match,0.5,n_goal_reached,0.2,9,0.16003533,0.26950707,0.35;0.5;0.65
