request_id	case_id	root_family_id	blind_id	condition	scene_ready	candidate_sha256	state_sha256
confirm_F02_A_V1	F02_A	F02	E031	V1	1	065c85bedf7eb95d6ce7658be320044c80fb52836f891f5ec78f61beef19e747	6b837b9e4d446cd910e021bc96424442b6f205812875a75002d0e3c6f2faca55
confirm_F02_B_V1	F02_B	F02	E001	V1	0	323a9b0d4cd147a5ff570d387b01c8d0063c690992fcafd795d1ee5d5873925e	4912cda203481e925ab046ebd38f3aaed7b90b8fd4cdbb7ab2834a4ef8bc5d6f
confirm_F03_A_V1	F03_A	F03	E044	V1	1	0e8800a2a04727d622c3f7cb2d67b748df8232cb46c9fab5b8124b694f269210	4c0d414349b70c9ee8cb1b9d2c8703ca5facdaf1b6472009316fa39de27d0087
confirm_F03_B_V1	F03_B	F03	E042	V1	1	5fb6504592452aa98fee8373ce27d4e7f83184e4c485ea61c378c2840456b82e	9802c22123c25c43149f1a1e73e68763148ea030fa03226f811a131ecf3d64a7
confirm_F04_A_V1	F04_A	F04	E051	V1	1	674b97274d7fcf2b3722d5a17e9bb650e9307b8e3b119966039973487c11d0f6	a5a59eaebc0233a9a6b911ee331e38236b29015c43e3c4a3c4133704f0819da2
confirm_F04_B_V1	F04_B	F04	E046	V1	1	76f9d60af3d5afc0e2fae9f212735415971c44d9e604847998d6463ceb7f3a2c	181f2797c3656acb44fee28d9ca40ae8cb15c3646cb364e1d37cd270542f864a
confirm_F06_A_V1	F06_A	F06	E029	V1	1	3b9dd9033a5eb82490e72eef5119739ecaf8826ae7b51891f7eccf746c1b0e3e	09f095aa899d2cea18191b90965b1d0048bd70b6b6ab65929ca3678a9b783469
confirm_F06_B_V1	F06_B	F06	E041	V1	1	0446a907ca467e76b6969a1031c10c6989071ed6b899fcbf4b0511810328ec27	9c996b147cc5abec6dc2f8957b0ad15a1cda4e4b26eabc2e5afefcd54988bf47
confirm_F07_A_V1	F07_A	F07	E023	V1	1	3c27a9ddd838457558b215205e539b90cee9d9d5202e4532377826d181cd2031	ea30e3f784b2608f292b5f28f4748550896c221d4214c2e5b6253c7aa27ab51a
confirm_F07_B_V1	F07_B	F07	E047	V1	0	6be8fd0888f79a5e43067520c88fbd79c75e441db4ff6896c6834cd8cfd6aa2f	53a797a05dc790704267b7d9655cfbc20a32b6ae674a685d246f287861cbf429
confirm_F08_A_V1	F08_A	F08	E008	V1	1	aeef684afb1dfd081a038e743ae2bcc5f163e27bbd7f6e9507d9de45712e8056	010665364e0098d2b90de357d0bf41dc4e365408717d695eed460f536726ef75
confirm_F08_B_V1	F08_B	F08	E005	V1	1	2bbb699aef4ed9bef38c2178f77c78f5bae5975495a7ca149a00ab8f3bdf4a59	37db42324e3d022d1f99e2f682a6fb47f08af161125afa1598e468dc3e5b35a4
confirm_F10_A_V1	F10_A	F10	E034	V1	1	a77527e6c24dfbdced2c52a05f0ec035a3c775979eced2f39df53e5ff80c045c	7da6fe0dddfc1b48cb27721f772add4b030494534a5d37cae6e8192dc5f68a4a
confirm_F10_B_V1	F10_B	F10	E017	V1	0	94d3ea09d5c89be746e4356af8f7abb550cebd24e6d2d7fe8eaa90ef26ad66d5	0555bd2b1d82b577ca59cfd13d3b2e93f7a454012345dcc6fa8eca6460cd3017
confirm_F11_A_V1	F11_A	F11	E032	V1	1	ab3552e297ab53c34c022ca473506d2e92303e6e68e48460834867e00497739d	e9f410b921b6b8dcbc44db99ce2a58aff43928dbab9b6de323297ad1365ced44
confirm_F11_B_V1	F11_B	F11	E050	V1	1	d1d5499eba1d030fb74f4582c6dfeb334e99594a3b59a660d32acd3170536567	e9d081afdf59ca71b1388187325bae914bbbc4e7b460ac6dea4ecddae76d045d
confirm_F12_A_V1	F12_A	F12	E009	V1	1	02d11e1e560e80e4ffaa06c100ee6a2af460a2e6babe97cdeb077b7e4333d104	8d60aa4cece91f499e3d55fa88986ccff858523646435e0107e5233fbcf31934
confirm_F12_B_V1	F12_B	F12	E025	V1	1	bf437e6fe3183f3c9b8ebc26b7d61336cfb57ebb8014d181f73683f94190250b	11b03e0f0f9e4a802ff42c635e042d503b5174c084bbde1bdacd8fc583492332
