scope,category,count,denominator,rate
primary,BOTH_ZERO,0,343497,0.0
primary,SAME_SIGN,343433,343497,0.9998136810510718
primary,OPPOSITE_SIGN,64,343497,0.00018631894892822936
primary,GRAPH_ONLY_NONZERO,0,343497,0.0
primary,GEOM_ONLY_NONZERO,0,343497,0.0
secondary,BOTH_ZERO,0,1219312,0.0
secondary,SAME_SIGN,1216165,1219312,0.9974190363090005
secondary,OPPOSITE_SIGN,3147,1219312,0.0025809636909995145
secondary,GRAPH_ONLY_NONZERO,0,1219312,0.0
secondary,GEOM_ONLY_NONZERO,0,1219312,0.0
