policy_seed,condition,profile,target_method,target_success,geom_success,graph_cost_success,graph_full_success
233,A_STARTED,BASE64,COUNT_EVENTS_PBRS,0.0,0.8125,0.6875,1.0
233,A_STARTED,LONG_CHAIN128,COUNT_EVENTS_PBRS,0.0,0.4375,0.65625,0.96875
233,A_VALID_B_LOSS,BASE64,COUNT_EVENTS_PBRS,0.0,1.0,0.8125,1.0
233,A_VALID_B_LOSS,LONG_CHAIN128,COUNT_EVENTS_PBRS,0.0,0.875,0.78125,1.0
233,B_STARTED,BASE64,COUNT_EVENTS_PBRS,0.0,1.0,0.84375,0.96875
233,B_STARTED,LONG_CHAIN128,COUNT_EVENTS_PBRS,0.0,0.9375,0.78125,0.875
233,B_VALID_A_LOSS,BASE64,COUNT_EVENTS_PBRS,0.0,0.875,1.0,0.84375
233,B_VALID_A_LOSS,LONG_CHAIN128,COUNT_EVENTS_PBRS,0.0,0.8125,1.0,0.8125
233,FREE_ORDER,BASE64,COUNT_EVENTS_PBRS,0.0,1.0,0.6875,0.96875
233,FREE_ORDER,LONG_CHAIN128,COUNT_EVENTS_PBRS,0.0,0.9375,0.65625,0.875
233,INVALIDATE_FIRST,BASE64,COUNT_EVENTS_PBRS,0.0,0.8125,0.6875,1.0
233,INVALIDATE_FIRST,LONG_CHAIN128,COUNT_EVENTS_PBRS,0.0,0.4375,0.6796875,0.9375
233,LATE_LOSS,BASE64,COUNT_EVENTS_PBRS,0.0,1.0,0.6875,1.0
233,LATE_LOSS,LONG_CHAIN128,COUNT_EVENTS_PBRS,0.0,0.84375,0.65625,0.90625
233,TWO_LOSSES,BASE64,COUNT_EVENTS_PBRS,0.0,0.625,0.6875,0.8125
233,TWO_LOSSES,LONG_CHAIN128,COUNT_EVENTS_PBRS,0.0,0.40625,0.65625,0.71875
239,A_STARTED,BASE64,TASK_ONLY,0.0,1.0,1.0,0.84375
239,A_STARTED,BASE64,COUNT_EVENTS_PBRS,0.0,1.0,1.0,0.84375
239,A_STARTED,LONG_CHAIN128,TASK_ONLY,0.0,1.0,1.0,0.5625
239,A_STARTED,LONG_CHAIN128,COUNT_EVENTS_PBRS,0.0,1.0,1.0,0.5625
239,A_VALID_B_LOSS,BASE64,TASK_ONLY,0.0,1.0,1.0,0.96875
239,A_VALID_B_LOSS,BASE64,COUNT_EVENTS_PBRS,0.0,1.0,1.0,0.96875
239,A_VALID_B_LOSS,LONG_CHAIN128,TASK_ONLY,0.0,1.0,1.0,0.90625
239,A_VALID_B_LOSS,LONG_CHAIN128,COUNT_EVENTS_PBRS,0.0,1.0,1.0,0.90625
239,B_STARTED,BASE64,TASK_ONLY,0.0,0.125,0.84375,0.9375
239,B_STARTED,BASE64,COUNT_EVENTS_PBRS,0.0,0.125,0.84375,0.9375
239,B_STARTED,LONG_CHAIN128,TASK_ONLY,0.0,0.0,0.75,0.84375
239,B_STARTED,LONG_CHAIN128,COUNT_EVENTS_PBRS,0.0,0.0,0.75,0.84375
239,B_VALID_A_LOSS,BASE64,TASK_ONLY,0.0,0.03125,0.9296875,0.96875
239,B_VALID_A_LOSS,BASE64,COUNT_EVENTS_PBRS,0.0,0.03125,0.9296875,0.96875
239,B_VALID_A_LOSS,LONG_CHAIN128,TASK_ONLY,0.0,0.0,0.875,0.96875
239,B_VALID_A_LOSS,LONG_CHAIN128,COUNT_EVENTS_PBRS,0.0,0.0,0.875,0.96875
239,FREE_ORDER,BASE64,TASK_ONLY,0.0,0.125,0.84375,0.84375
239,FREE_ORDER,BASE64,COUNT_EVENTS_PBRS,0.0,0.125,0.84375,0.84375
239,FREE_ORDER,LONG_CHAIN128,TASK_ONLY,0.0,0.0,0.71875,0.5625
239,FREE_ORDER,LONG_CHAIN128,COUNT_EVENTS_PBRS,0.0,0.0,0.71875,0.5625
239,INVALIDATE_FIRST,BASE64,TASK_ONLY,0.0,1.0,0.96875,0.8125
239,INVALIDATE_FIRST,BASE64,COUNT_EVENTS_PBRS,0.0,1.0,0.96875,0.8125
239,INVALIDATE_FIRST,LONG_CHAIN128,TASK_ONLY,0.0,0.96875,0.96875,0.53125
239,INVALIDATE_FIRST,LONG_CHAIN128,COUNT_EVENTS_PBRS,0.0,0.96875,0.96875,0.53125
239,LATE_LOSS,BASE64,TASK_ONLY,0.0,0.96875,0.8125,0.8125
239,LATE_LOSS,BASE64,COUNT_EVENTS_PBRS,0.0,0.96875,0.8125,0.8125
239,LATE_LOSS,LONG_CHAIN128,TASK_ONLY,0.0,0.90625,0.65625,0.59375
239,LATE_LOSS,LONG_CHAIN128,COUNT_EVENTS_PBRS,0.0,0.90625,0.65625,0.59375
239,TWO_LOSSES,BASE64,TASK_ONLY,0.0,0.625,0.7890625,0.8125
239,TWO_LOSSES,BASE64,COUNT_EVENTS_PBRS,0.0,0.625,0.7890625,0.8125
239,TWO_LOSSES,LONG_CHAIN128,TASK_ONLY,0.0,0.65625,0.625,0.65625
239,TWO_LOSSES,LONG_CHAIN128,COUNT_EVENTS_PBRS,0.0,0.65625,0.625,0.65625
