kind	absolute_path	bytes	sha256	role
corpus	/home/__compress_data/xushijie/graph_pathgraph_p2b_d1_diagnostics_data/run_v1/potential_corpus/common_state_potential_corpus.jsonl	1303405864	d5f5dfad3357c6096c254cd29fd44c5c77a3102d38466a5743dbf56db3c6ce9d	complete raw-transition causal replay corpus
state_index	/home/__compress_data/xushijie/graph_pathgraph_p2b_d1_diagnostics_data/run_v1/potential_corpus/state_index.sqlite	127791104	bf4a8c96445242bbb768c0eb1fc08c85209ec9e10adc205d2215128c594028d9	unique-state and replay locator index
training_episode_table	/home/__compress_data/xushijie/graph_pathgraph_p2b_d1_diagnostics_data/run_v1/seed_forensics/training_episode_summary.full.csv	29523884	9454b59365445b5b2ffb0457fc7f38f21c00e515dfb257c0204d40a0222b7cdb	full per-episode training forensics
counterfactual_registry	/home/__compress_data/xushijie/graph_pathgraph_p2b_d1_diagnostics_data/run_v1/counterfactual_actions/selected_states.json	36043	bda5964f76f15ca1526cfa1bdc3d8d19a372843934d564a10586cb42259fd351	deterministic counterfactual state registry
