state_hash,condition,profile,expert_action,expert_geom_rank,expert_graph_rank,reference
0005d9965bfa155be594867337ba157dc2021669971bc45428b27a0c76c486a8,LATE_LOSS,BASE64,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0006011272c415ad49be2bbe142a7384a6c35360f4c3baf2584113882adb7966,TWO_LOSSES,LONG_CHAIN128,START_RECOVERY_A,6,6,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
000766e5a3ba973c118aa64504ef61f806bd5865a1b3e681c5c54adad323130a,B_VALID_A_LOSS,BASE64,ACQUIRE_A,2,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
000815342339d6a61e503bb2fd008b5c97cdfc700ad55dadb2638d756a76a943,TWO_LOSSES,BASE64,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0008214f94457583715b41a3941fdd066a5e2d07c8fd4438b698bc7810a206b0,B_VALID_A_LOSS,BASE64,PLACE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
000993fdc9b80260de9a4591cd4171215bef80d0e5b4bf9a127265b752828c2a,TWO_LOSSES,LONG_CHAIN128,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0009aea71b3a26f3dfe2a9aad97931f5067b848cbe7353859e093b2b50e86090,FREE_ORDER,BASE64,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0009db3cf6dce0078b45d988c6e5dade5c3df20e39ab72fcdaaaf3f73eb1c11d,FREE_ORDER,LONG_CHAIN128,ACQUIRE_A,2,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
000a1924887e43ec20d7e5ca960373aa7b8b86e97aba5f6beaca25bf59845389,B_VALID_A_LOSS,LONG_CHAIN128,PLACE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
000a1a8f65dbacb1cd136d28fcd7c87c24346f753c12643f122ec8032af29f05,FREE_ORDER,LONG_CHAIN128,PLACE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
000b1a8e3ab80a90f2628aa21d19e5e9bbcf15b83a26b56f52184a5a7de0b36f,B_VALID_A_LOSS,BASE64,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
000b365ce29e1b1303cd303ea91dba146bb02ae900f16c19b97d2b4dd9070006,TWO_LOSSES,BASE64,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
000b5c1c30e30656bfbf005362f149d4e6ceb9795b46893fcb4b6242729a122a,B_STARTED,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
000c21b9fe9d6522566eb85e024c34ed82c6a46bbc038ec685aaaf16e384bc79,TWO_LOSSES,BASE64,ADVANCE_A,13,13,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
000d9764084e2cc045babd90eb290928ad93dae4abceb9e65d6e592f7b35752b,TWO_LOSSES,BASE64,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
000de2bfc23b412a73710117c81e80474246c5d93d07590c01c68ff8898cdd70,TWO_LOSSES,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
000e1cb81c279fd2cc843a85d1c1270df62e1b990cee6ebce76fa8fb8cd6789f,LATE_LOSS,LONG_CHAIN128,START_RECOVERY_B,11,11,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
000e2074caf0aa4c8869cb9bce9064cc0b76e34e952b289d1f60ecf5b889db1d,A_STARTED,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0010200b6d9473a3af292da02214b540eb03fa9354cf264229916cd17da49cfd,B_VALID_A_LOSS,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
00102df76c56463c243cd5fe0fd18f2013d19db989cd9b844f23e477c0d6c008,LATE_LOSS,LONG_CHAIN128,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0170b585a1abf4b22348e2173247897e714396e7165b21770d1400e4da959912,LATE_LOSS,LONG_CHAIN128,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
012b1333433d56dc81e440ecffd04194a117faa8992bb149b50f5cac1a261625,LATE_LOSS,LONG_CHAIN128,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
