state_hash,condition,profile,phase_A,phase_B,action,valid_action,next_phase_A,next_phase_B,next_valid_count,loss_event_created,recovery_event_created,task_reward,geom_shaping,graph_shaping,geom_training_reward,graph_training_reward,geom_rank,graph_rank
00004a38d39c223aad2e4289dc1f8c4174029ba66dda27d9d81a14af15132777,B_STARTED,LONG_CHAIN128,HELD,WAIT,WAIT,True,HELD,WAIT,0,False,False,0.0,0.010000000000000009,0.00666666666666671,0.010000000000000009,0.00666666666666671,2,2
00004a38d39c223aad2e4289dc1f8c4174029ba66dda27d9d81a14af15132777,B_STARTED,LONG_CHAIN128,HELD,WAIT,ACQUIRE_A,False,HELD,WAIT,0,False,False,0.0,0.010000000000000009,0.00666666666666671,0.010000000000000009,0.00666666666666671,3,3
00004a38d39c223aad2e4289dc1f8c4174029ba66dda27d9d81a14af15132777,B_STARTED,LONG_CHAIN128,HELD,WAIT,ADVANCE_A,True,TRANSPORT,WAIT,0,False,False,0.0,0.016879039848646804,0.09375269323243118,0.016879039848646804,0.09375269323243118,1,1
00004a38d39c223aad2e4289dc1f8c4174029ba66dda27d9d81a14af15132777,B_STARTED,LONG_CHAIN128,HELD,WAIT,PLACE_A,False,HELD,WAIT,0,False,False,0.0,0.010000000000000009,0.00666666666666671,0.010000000000000009,0.00666666666666671,4,4
00004a38d39c223aad2e4289dc1f8c4174029ba66dda27d9d81a14af15132777,B_STARTED,LONG_CHAIN128,HELD,WAIT,START_RECOVERY_A,False,HELD,WAIT,0,False,False,0.0,0.010000000000000009,0.00666666666666671,0.010000000000000009,0.00666666666666671,5,5
00004a38d39c223aad2e4289dc1f8c4174029ba66dda27d9d81a14af15132777,B_STARTED,LONG_CHAIN128,HELD,WAIT,REGRASP_A,False,HELD,WAIT,0,False,False,0.0,0.010000000000000009,0.00666666666666671,0.010000000000000009,0.00666666666666671,6,6
00004a38d39c223aad2e4289dc1f8c4174029ba66dda27d9d81a14af15132777,B_STARTED,LONG_CHAIN128,HELD,WAIT,RELEASE_A,True,WAIT,WAIT,0,False,False,0.0,0.010000000000000009,-0.07583333333333331,0.010000000000000009,-0.07583333333333331,7,13
00004a38d39c223aad2e4289dc1f8c4174029ba66dda27d9d81a14af15132777,B_STARTED,LONG_CHAIN128,HELD,WAIT,ACQUIRE_B,False,HELD,WAIT,0,False,False,0.0,0.010000000000000009,0.00666666666666671,0.010000000000000009,0.00666666666666671,8,7
00004a38d39c223aad2e4289dc1f8c4174029ba66dda27d9d81a14af15132777,B_STARTED,LONG_CHAIN128,HELD,WAIT,ADVANCE_B,False,HELD,WAIT,0,False,False,0.0,0.010000000000000009,0.00666666666666671,0.010000000000000009,0.00666666666666671,9,8
00004a38d39c223aad2e4289dc1f8c4174029ba66dda27d9d81a14af15132777,B_STARTED,LONG_CHAIN128,HELD,WAIT,PLACE_B,False,HELD,WAIT,0,False,False,0.0,0.010000000000000009,0.00666666666666671,0.010000000000000009,0.00666666666666671,10,9
00004a38d39c223aad2e4289dc1f8c4174029ba66dda27d9d81a14af15132777,B_STARTED,LONG_CHAIN128,HELD,WAIT,START_RECOVERY_B,False,HELD,WAIT,0,False,False,0.0,0.010000000000000009,0.00666666666666671,0.010000000000000009,0.00666666666666671,11,10
00004a38d39c223aad2e4289dc1f8c4174029ba66dda27d9d81a14af15132777,B_STARTED,LONG_CHAIN128,HELD,WAIT,REGRASP_B,False,HELD,WAIT,0,False,False,0.0,0.010000000000000009,0.00666666666666671,0.010000000000000009,0.00666666666666671,12,11
00004a38d39c223aad2e4289dc1f8c4174029ba66dda27d9d81a14af15132777,B_STARTED,LONG_CHAIN128,HELD,WAIT,RELEASE_B,False,HELD,WAIT,0,False,False,0.0,0.010000000000000009,0.00666666666666671,0.010000000000000009,0.00666666666666671,13,12
00ba6b9c16b8899d34629a77c114180b95c6ef35d4608db154926035f79d6286,B_STARTED,LONG_CHAIN128,WAIT,HELD,WAIT,True,WAIT,HELD,0,False,False,0.0,0.009900714768940166,0.00666666666666671,0.009900714768940166,0.00666666666666671,2,2
00ba6b9c16b8899d34629a77c114180b95c6ef35d4608db154926035f79d6286,B_STARTED,LONG_CHAIN128,WAIT,HELD,ACQUIRE_A,False,WAIT,HELD,0,False,False,0.0,0.009900714768940166,0.00666666666666671,0.009900714768940166,0.00666666666666671,3,3
00ba6b9c16b8899d34629a77c114180b95c6ef35d4608db154926035f79d6286,B_STARTED,LONG_CHAIN128,WAIT,HELD,ADVANCE_A,False,WAIT,HELD,0,False,False,0.0,0.009900714768940166,0.00666666666666671,0.009900714768940166,0.00666666666666671,4,4
00ba6b9c16b8899d34629a77c114180b95c6ef35d4608db154926035f79d6286,B_STARTED,LONG_CHAIN128,WAIT,HELD,PLACE_A,False,WAIT,HELD,0,False,False,0.0,0.009900714768940166,0.00666666666666671,0.009900714768940166,0.00666666666666671,5,5
00ba6b9c16b8899d34629a77c114180b95c6ef35d4608db154926035f79d6286,B_STARTED,LONG_CHAIN128,WAIT,HELD,START_RECOVERY_A,False,WAIT,HELD,0,False,False,0.0,0.009900714768940166,0.00666666666666671,0.009900714768940166,0.00666666666666671,6,6
00ba6b9c16b8899d34629a77c114180b95c6ef35d4608db154926035f79d6286,B_STARTED,LONG_CHAIN128,WAIT,HELD,REGRASP_A,False,WAIT,HELD,0,False,False,0.0,0.009900714768940166,0.00666666666666671,0.009900714768940166,0.00666666666666671,7,7
00ba6b9c16b8899d34629a77c114180b95c6ef35d4608db154926035f79d6286,B_STARTED,LONG_CHAIN128,WAIT,HELD,RELEASE_A,False,WAIT,HELD,0,False,False,0.0,0.009900714768940166,0.00666666666666671,0.009900714768940166,0.00666666666666671,8,8
00ba6b9c16b8899d34629a77c114180b95c6ef35d4608db154926035f79d6286,B_STARTED,LONG_CHAIN128,WAIT,HELD,ACQUIRE_B,False,WAIT,HELD,0,False,False,0.0,0.009900714768940166,0.00666666666666671,0.009900714768940166,0.00666666666666671,9,9
00ba6b9c16b8899d34629a77c114180b95c6ef35d4608db154926035f79d6286,B_STARTED,LONG_CHAIN128,WAIT,HELD,ADVANCE_B,True,WAIT,TRANSPORT,0,False,False,0.0,0.019729952643859683,0.10227231716655927,0.019729952643859683,0.10227231716655927,1,1
00ba6b9c16b8899d34629a77c114180b95c6ef35d4608db154926035f79d6286,B_STARTED,LONG_CHAIN128,WAIT,HELD,PLACE_B,False,WAIT,HELD,0,False,False,0.0,0.009900714768940166,0.00666666666666671,0.009900714768940166,0.00666666666666671,10,10
00ba6b9c16b8899d34629a77c114180b95c6ef35d4608db154926035f79d6286,B_STARTED,LONG_CHAIN128,WAIT,HELD,START_RECOVERY_B,False,WAIT,HELD,0,False,False,0.0,0.009900714768940166,0.00666666666666671,0.009900714768940166,0.00666666666666671,11,11
