geom_signature,group_size,distinct_graph_cost_count,distinct_graph_full_count,max_graph_potential_span,conditions,phases,active_objects,representative_state_hashes
"[0,0,""0.027291301460788731""]",97,2,2,0.08788188357679805,"B_STARTED,A_STARTED,FREE_ORDER,INVALIDATE_FIRST","WAIT/TRANSPORT,WAIT/HELD",B,"[""0086a0a9fc81eb531a5b95223236ec629620afd7db49264053fc89ac5ce78f16"",""0136e440dada839cc909776c917c6e5238fb99389c02b85444a0bb70e2db3942"",""029f22470c49cf895c1b487151544e77ed31ac7c2d281f8573a8a96f59e12f5b"",""033957cf8890a9e09b9091de84de2d6462900c58fa1edf0109b76865d8f5394b"",""035d2e71cf9aa99a9431aa9d1779492464853feb2c20d4fe01701a0354f01092""]"
"[0,0,""0.028294240646559277""]",140,2,2,0.08804904010775982,"A_STARTED,B_STARTED,INVALIDATE_FIRST,FREE_ORDER,TWO_LOSSES","WAIT/TRANSPORT,WAIT/HELD",B,"[""01525bd06093c29b8aaf361c748952b7b3bce427c62e3e63cba876675c54e52f"",""024e317c6b47e35ad103dccf8c7a5bb6e8d7b5ba0102112239b541f0d143162d"",""0420afdf25e84222aee96960905eec2638c2e3977213883043edc916b700d52e"",""0d366dc0e72f242796b8bb22155f0c8e89d74daf256c26d8fae61eda650331cf"",""0edc0bdde57f2fa9c3b3218c98c612db3858dac2ba831f3d804f5708ce2879d4""]"
"[0,0,""0.028735642402505368""]",112,2,2,0.08812260706708419,"FREE_ORDER,B_STARTED,A_STARTED,INVALIDATE_FIRST","WAIT/TRANSPORT,WAIT/HELD",B,"[""0190ab677ac6393fc6c960f8deada822c05c65452d5729b287e7d7f078bd4197"",""03f52d7fbe686706b36165c1a1705ecbc73df685c38182f132c525b83fef2e26"",""052c4dce90f8e2c5c49b494cbb24766580d8e426957d59fdb104c52b23135a1e"",""05ce70acedf926e5a367dac6f10bb2b37e86188f7736d285846bb154b405a814"",""0625d78aa2258b65465b76fa7fef750d33e8b51791985badfa8f6b161696ab2b""]"
"[0,0,""0.028874907387198834""]",113,2,2,0.08814581789786635,"A_STARTED,FREE_ORDER,B_STARTED,INVALIDATE_FIRST","WAIT/TRANSPORT,WAIT/HELD",B,"[""012055bfdc16098e6fa0ef35ee01fcee7e17244ce3ed62c871b831ecea624492"",""04c2381beb2b5ff464305656ae2f4f781e83b65063e24d0417b85733aa401027"",""04ec50ced57b8c7cf37d06b878ce3578242babb6ec408a2d12fb3331bc8b2512"",""06f363d7a7ed4172404b9e1d9896446f3a139379bbaf9c2f68f1d88e7f445eb1"",""075e2d2b10a7399028e7cae544ca09846d8b37bd1f8af8f3e38ba98638166706""]"
"[0,0,""0.029021388343078769""]",103,2,2,0.08817023139051305,"FREE_ORDER,B_STARTED,A_STARTED,INVALIDATE_FIRST","WAIT/TRANSPORT,WAIT/HELD",B,"[""00691398b9bcfa195feab9ebab74ff8baa82a4328f1769cc789638611a9ac818"",""0507a3e2baa226345d7a538f444826dd5c20f7256b5ded18e7ab71f5792f2c07"",""0509596cdd6ea883931f378788b2e2157d39a47179c9b8c091435a7c0afd5ec1"",""078b3f5fd8ab4c28b791e1ebabb34ab75c658ce168b822e7d3601fde1043da51"",""07acb2892c4f0f37595d6039dd46ed93428fb3dd4c9b7e1ce17b82df515d611c""]"
"[0,0,""0.030090115472307999""]",168,2,2,0.08834835257871798,"FREE_ORDER,B_STARTED,A_STARTED,INVALIDATE_FIRST","WAIT/HELD,WAIT/TRANSPORT",B,"[""0057c7c28deb5d2beaab153e70995ca5a3b211120eb978c3ffffc5019c38760e"",""076f38e3be3384f93a8bed7d0a1e518690819ca5e535dceabaae6ce59bcb810f"",""09cb1056fdbaa524994a295d1a1097364ae351eceb39e8cff64fabf5a2b9c433"",""09e8c9b1471de8362072cf8ab90b32e5b4838feeecc4cd9935dc8fad5fc1411c"",""0cc20cad2c426fff20d39ad72fb10c4bc7191e5b264aea8049ffbd6c85c85cd3""]"
"[0,0,""0.031190129615171924""]",155,2,2,0.08853168826919522,"FREE_ORDER,A_STARTED,B_STARTED,INVALIDATE_FIRST","WAIT/HELD,WAIT/TRANSPORT",B,"[""0258c5ed54119481ccf02fcba9810e02e40a288ee012407f4cd042d2136d35ac"",""0429f2a86078b9e6661c2189c15c61f530e6ee2e33a3cde94439c75e572deeb9"",""068f916b5a8c30e8970241270d058b81dd4e8686ff156bdf8c7ac52d8a3c4e48"",""08c2260d91a11160c89d21e4215cbfd82fc42bcebb171b7e841621530db3b8de"",""0b05927d0bfe0130da0c6a3a398bd6e61c47ceac767cd54871da0f18c75aac79""]"
"[0,0,""0.032209058368740495""]",111,2,2,0.0887015097281233,"FREE_ORDER,A_STARTED,LATE_LOSS,B_STARTED,INVALIDATE_FIRST","WAIT/TRANSPORT,WAIT/HELD",B,"[""0027c84669f6a5b3c366a34443bd6dcd2749aa70f4913154f5621c41f78faae7"",""01d3df872ad8e1231086599ce002e1b4adac20cc3a29b678170032cde84a0a4f"",""028689fb9773c4c233d6dbb9975acf8d4a4e636f0e493f6fb0e257df643e063c"",""04a85c5effbcfc856e02559b4b368c496171b7cfb4e0b609be42027679717a84"",""07be72ad61f65df1c92d0ee90b9f136629cfc83b943d2fa43204adeccb0f3814""]"
"[0,0,""0.032268550927665507""]",146,2,2,0.08871142515461083,"B_STARTED,FREE_ORDER,A_STARTED,INVALIDATE_FIRST","WAIT/HELD,WAIT/TRANSPORT",B,"[""036acda71f1b2592d6473e2bec631c6b3d1fea4604a214ab9a94da485b374cdb"",""03f87c27a4e8c5185dea345f192c63148a0b0f3e70559a1b5f5517ae37b95ac5"",""0649f50ff87b9a91776ce9974b675b642040eee7883d5ba359ca52b1f4da41b4"",""09ed31af35bf67e564bee2243ee38cd3ae78cfadff1f9f496ff7095963e25ed4"",""0bad89262e343ffef3525cacdd33c4ba4dd730956707fd53e3fe4fc40a65a915""]"
"[0,0,""0.0323588963915864""]",119,2,2,0.08872648273193096,"FREE_ORDER,B_STARTED,A_STARTED,INVALIDATE_FIRST","WAIT/TRANSPORT,WAIT/HELD",B,"[""09d9bfe14cf653f387fbeee46faafde781856347de476ffc28c11f0268b81f94"",""0afd707349612ba00aed30693abecb0d89ce91c64afa09da32cb1efbd4150640"",""0e0213e55f8049fb521c997c8597eb55b5753e51c211694af04c3bb1e46388b9"",""0e70068f24ebc07be0e937fa0486d9d035a3c86ddd62b31ea9402a88ff06b54d"",""10b00b79c20fc5341b4fbf908693be225f41137f8318c441fe5e033ced04171b""]"
"[0,0,""0.033188704050572448""]",109,2,2,0.08886478400842868,"B_STARTED,FREE_ORDER,A_STARTED,INVALIDATE_FIRST","WAIT/HELD,WAIT/TRANSPORT",B,"[""00321df5d41ea01ab829beaef9bb02d5afce1c992da5ac9f686f69eedb1ae728"",""015cc491a42456016c4f1d1c7f2ca29430c25fc1275d441de9e98ab2b0630d5d"",""0161aa4ab4d832773da82efbefa525db0aa058f5dde1cb92d71bbed356b8e618"",""07eb83ec09f89ded011d539b53633a6dbfae5515a8cdabbd7968bb72bba11ebe"",""08fca947851b8420b5cda0e396429b820c404d293dbff6f95cdea5a45695e1a0""]"
"[0,0,""0.033267225267215317""]",157,2,2,0.08887787087786914,"INVALIDATE_FIRST,FREE_ORDER,B_STARTED,A_STARTED","WAIT/TRANSPORT,WAIT/HELD",B,"[""0075fc05bce8d2f74eefef1f6fe1ea04aeb829ba08951c593204af19939f1979"",""00a54873bf82c4f461631e10a2216ba85a73dc5075e1375aa56637ea5a4fe576"",""0525439f1add11b22cce6bdbcd488c86a0ab28ca3ebca5e51e7d159685a90cae"",""08224b71ec05cd4eae19191a229cc697bcd02cf693df3e9c9c7212b33714466d"",""086c67679da6e09fc117dac0860273d4dd834fffa2521997a57266ad26f11943""]"
"[0,0,""0.033560892826454247""]",108,2,2,0.08892681547107562,"B_STARTED,FREE_ORDER,A_STARTED,INVALIDATE_FIRST","WAIT/TRANSPORT,WAIT/HELD",B,"[""003c81b43120351fc519ca11d58f4a0cd168254a3fc4c3402622be7f737156c2"",""00b7dd423cbd749f25b0db4627bce49d8ecda96843b2d5a920bce0e8e91a75bb"",""0244d07a4315158c18a29e0fe438f63adabc4da6c5d74e436dd32f5032447545"",""04f8d9c5029898900bfb35ab6a5c3896d4153354cb86b1be8948791a0cfe8bcd"",""07e245bb8983995783ab2e6d40cff0b9fb90e811efbaf87176ba54337360f22a""]"
"[0,0,""0.03445073410924343""]",127,2,2,0.08907512235154047,"FREE_ORDER,B_STARTED,INVALIDATE_FIRST,A_STARTED","WAIT/TRANSPORT,WAIT/HELD",B,"[""00fce10bd0794609cdf2164b3eb0ca8879b5f1876d871e7ada8ffe110a20a432"",""01b9eed170302cb3128c94410b149771696c9d4826ec58ff8f6b95759f998a22"",""01d1b05c41dd0ee60254275f4e8d860b487202fb6820fbd4b36bf8389205e427"",""033ef3a0b57d62328ceb7a70c61668a06ba331c8263ec1d09c1b329e0e30b9d5"",""07384af76d70200be5b6a38b184ab0079416f1bba7202a6817fce3793155bd7a""]"
"[0,0,""0.036944425547873916""]",84,2,2,0.08949073759131221,"INVALIDATE_FIRST,FREE_ORDER,A_STARTED,B_STARTED","WAIT/TRANSPORT,WAIT/HELD",B,"[""012b920972f8946dacaba03231cdac1f07a52b9ba8ef218c75086985fbca0b2b"",""03b0d21104009db666a06acbbfd1892264883608f8eb8976c071b1aebe50c044"",""04e2d8d6ce2f1773fc20afe0d987176ae90864289ca23c1f4cb02018f8ff0912"",""0559fe5278cb969e81c3efc0137a880125eb1f3e6fb67b3253c73b709efa145a"",""0af4fb90cdac63856aead3f39d562fe735137cb66ac485869b1c25de26fee74c""]"
"[0,0,""0.038666696476129747""]",169,2,2,0.08977778274602155,"FREE_ORDER,B_STARTED,A_STARTED,INVALIDATE_FIRST","WAIT/HELD,WAIT/TRANSPORT",B,"[""0118509db89a466750242169eeb188ac1c716c87893293244193702795ab655d"",""012522105df09cdbae6ba9a553fea71058ac38d5439f8bbab0ef6f7b09ade11c"",""029e1edb2bc81f7b513d4e83c57426b24c7b3b5345c80b6728ffde9bfd29d1da"",""02a2a762fc82404ead8136406d73d6b37e1d0b9a5a03701ba49127e3329f549e"",""02bd1690e3c26343e6cee9ce856f5af6937b29bd46cd784f868cb0aae9fb2c3c""]"
"[0,0,""0.039714092423917269""]",139,2,2,0.0899523487373195,"B_STARTED,FREE_ORDER,INVALIDATE_FIRST,A_STARTED","WAIT/HELD,WAIT/TRANSPORT",B,"[""007f73da363709062147602fb360c44196468f825f134992750e03309bc68029"",""00ba6b9c16b8899d34629a77c114180b95c6ef35d4608db154926035f79d6286"",""03bb8fa65902fe78fb72442cae69d0204e239cd8628f4eb90e37e34570e97486"",""03c5562b804ea6a6cddd348df9b6badfffd7b8da433f38af63edd13b7dffb1ee"",""07eecd733ce6cfc8b47cfab3ce816eba746f72f189b8bacf11316dd31d912bf5""]"
"[0,0,""0.040234300023344716""]",116,2,2,0.09003905000389067,"B_STARTED,FREE_ORDER,INVALIDATE_FIRST,A_STARTED","WAIT/HELD,WAIT/TRANSPORT",B,"[""001a73b953631ddf20f2aee4472d202d322351ada6bf1cfaab806267744ac5dd"",""0373b5eab869cf71cba55c7d4a0c5ed2d44449e902be9c43e550265e99f0ed3d"",""03b6090eaaa4832e2a580163e267c0f3dc2bfd52b77084f43334d08e27e7a35b"",""0563cd398b11fa645e85a1878264187f3daca4523a67aea0e75e66a87a2d11c9"",""0ec097198e2529f4b8dfb44f92c8e93b5115e35aa47fc23cecbeea106c484f0d""]"
"[0,0,""0.040503559991494242""]",128,2,2,0.090083926665249,"B_STARTED,FREE_ORDER,A_STARTED,INVALIDATE_FIRST","WAIT/TRANSPORT,WAIT/HELD",B,"[""01099ef8f9d32aef83822d441232d103265b9dff7e9f7885368307a6f376159c"",""0191e14d5fba8433d675ce25336c8b22248a951d7fb043461420d88102b5945c"",""025c73963ebdfe72f402dc897379946eb5a8a4afb4c1204d67331b3465454b85"",""069772d5fe220e6924912bdd82216ec3d83137ee217f266c27a5c3f7fe442b77"",""0a4c51886b2a62e2cf1ebba586a192ce6a65899392292acbb2ad5d94d5218004""]"
"[0,0,""0.042654734419083018""]",96,2,2,0.09044245573651377,"FREE_ORDER,INVALIDATE_FIRST,B_STARTED,A_STARTED","WAIT/TRANSPORT,WAIT/HELD",B,"[""0c98599d28e366de0ab68273bba183dfdc36c58d0e462d82c76482901aff9a2a"",""0e16649ecd887681437331d16dadd8f4394e0d418bb385879361cb915a8efc30"",""0e1e507b7f01d39cf270aca2fad32a1b8e413800ae5e5f8be4bd782f6fe1e6a1"",""0f7b5f259bbbe2b828925a03510deaab949d9268d9130f4452a92c964e732b17"",""13b17b7c9c0bf5d13acd6c69bb2c1f5299c5612b7cfa39c9a7bc2f55ff9e28f3""]"
"[0,0,""0.043461480975851619""]",81,2,2,0.09057691349597519,"FREE_ORDER,B_STARTED,A_STARTED,INVALIDATE_FIRST","WAIT/TRANSPORT,WAIT/HELD",B,"[""03748df8ccece52929b118492ab636826b97ab4eca1a03b141791da4d516e63b"",""04aa395550bb767060cee1f0b94ad12d70ea847f7bd1fe0a9f02fca35c93fb9e"",""08bd1fdf91c2b58aa3da978eace570d5f0c6e48975a11e46e0a5785e356edcf0"",""0a81a4a31a91389f4a401ffcbbe34806ed388e468029c8d784db9c153fb3c626"",""0b1a969089ff913a1516045fd4d6b80f73d672c93e2d1da6568ade69e3c04924""]"
"[0,0,""0.044480825620861364""]",121,2,2,0.09074680427014348,"FREE_ORDER,B_STARTED,A_STARTED,INVALIDATE_FIRST","WAIT/TRANSPORT,WAIT/HELD",B,"[""05fd0b82eac5aa96663872f0d51ad711401ad1837feb6945a7f4edf7ee976e32"",""06beabe909fb315147ec41842172a599a45acc8fd4e2040d3a380b9baa8eb7dc"",""081cb2f5896f474c8be4625be58f7f49519d5830b9fd4fe45111daa929f5262a"",""0bebb123c473b93709814da1e8f85ad7015b3366ea3be85e0a18c803e7f4065e"",""0d622eeba18563754e95fdfd0601862866c32b448e64f87d00211322523decbc""]"
"[0,0,""0.045576228150065345""]",90,2,2,0.09092937135834411,"B_STARTED,FREE_ORDER,INVALIDATE_FIRST,A_STARTED","WAIT/HELD,WAIT/TRANSPORT",B,"[""011ba58aa21413c0db32c2387e282f82a1d035a01e6e6e94014a2884e603073d"",""02881767e3bb90e59d2cfb7f5fe43d4594d0a9ca84bc1a7af147b9483dd5583f"",""046652aa3520695fd7d3189f9dd49062cf1b49a27d69d11b8d5034e4dfe37822"",""0659d4f226019b0458cee3cb18849836285fea625b3f4813cff908087eac4eec"",""09824d6c91637909662d6ebecf5388d5d9a4034eea802eb9b69cb2d4d596c25c""]"
"[0,0,""0.04576792344700148""]",80,2,2,0.09096132057450013,"B_STARTED,FREE_ORDER,A_STARTED,INVALIDATE_FIRST,LATE_LOSS","WAIT/TRANSPORT,WAIT/HELD",B,"[""0491d7bdb18b9b269ff66caf1321443c261fb3f6d6c86cc8e0eb8613d8210a38"",""06ad297e003a59adeb342c05b5e68a9b330ef7d4e36efc88a5457708fad63275"",""073eb5f756b95fab55564c0cd44d2c6a923f769a8f1cbdc74c9271a2ea847e34"",""09fa7fb38cc905007352ba72c464bd17168d5f96378f41ee22860ca5230baa66"",""0afdb4044f59223067cd2b24ceeaa2a3c7e29ea8e945fff79cf9f917a4625cba""]"
