method,policy_seed,training_complete,test_episodes,repeat0_episode_specs,episodes_path,traces_path,traces_bytes
TASK_ONLY,211,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/TASK_ONLY/seed_211/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/TASK_ONLY/seed_211/fixed_subset_traces.jsonl,133355661
TASK_ONLY,223,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/TASK_ONLY/seed_223/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/TASK_ONLY/seed_223/fixed_subset_traces.jsonl,68796493
TASK_ONLY,227,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/TASK_ONLY/seed_227/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/TASK_ONLY/seed_227/fixed_subset_traces.jsonl,53290537
TASK_ONLY,229,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/TASK_ONLY/seed_229/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/TASK_ONLY/seed_229/fixed_subset_traces.jsonl,53146000
TASK_ONLY,233,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/TASK_ONLY/seed_233/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/TASK_ONLY/seed_233/fixed_subset_traces.jsonl,59985350
TASK_ONLY,239,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/TASK_ONLY/seed_239/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/TASK_ONLY/seed_239/fixed_subset_traces.jsonl,136691936
TASK_ONLY,241,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/TASK_ONLY/seed_241/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/TASK_ONLY/seed_241/fixed_subset_traces.jsonl,47548970
TASK_ONLY,251,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/TASK_ONLY/seed_251/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/TASK_ONLY/seed_251/fixed_subset_traces.jsonl,66801384
COUNT_PBRS,211,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_PBRS/seed_211/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_PBRS/seed_211/fixed_subset_traces.jsonl,72427197
COUNT_PBRS,223,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_PBRS/seed_223/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_PBRS/seed_223/fixed_subset_traces.jsonl,139205287
COUNT_PBRS,227,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_PBRS/seed_227/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_PBRS/seed_227/fixed_subset_traces.jsonl,136815155
