scope,condition,transitions,graph_only_nonzero,opposite_sign,graph_unique_rate
primary,A_STARTED,41541,0,64,0.0015406465901157892
primary,A_VALID_B_LOSS,22002,0,0,0.0
primary,B_STARTED,42521,0,0,0.0
primary,B_VALID_A_LOSS,32764,0,0,0.0
primary,FREE_ORDER,45834,0,0,0.0
primary,INVALIDATE_FIRST,57475,0,0,0.0
primary,LATE_LOSS,46146,0,0,0.0
primary,TWO_LOSSES,55214,0,0,0.0
secondary,A_STARTED,151684,0,388,0.0025579494211650537
secondary,A_VALID_B_LOSS,108592,0,112,0.0010313835273316634
secondary,B_STARTED,144877,0,366,0.002526280914154766
secondary,B_VALID_A_LOSS,120102,0,1439,0.011981482406621039
secondary,FREE_ORDER,154100,0,211,0.0013692407527579494
secondary,INVALIDATE_FIRST,191250,0,211,0.0011032679738562092
secondary,LATE_LOSS,166949,0,208,0.0012458894632492558
secondary,TWO_LOSSES,181758,0,212,0.0011663860737904247
