method,policy_seed,episode_id,family,profile,condition,success,steps,first_valid_object,final_valid_A,final_valid_B,first_loss_step,first_recovery_start_step,first_regrasp_step,invalid_action_count,object_switch_count,longest_identical_action_run,last_16_invalid_fraction,first_irreversible_error_step,primary_failure_class,secondary_failure_labels
TASK_ONLY,211,P2B_test_1203000_BASE64_FREE_ORDER_0,1203000,BASE64,FREE_ORDER,False,64,,False,False,,,,64,0,64,1.0,,NO_ACQUIRE_PROGRESS,"[""INVALID_ACTION_LOOP"",""DETERMINISTIC_ACTION_CYCLE_OTHER""]"
TASK_ONLY,211,P2B_test_1203000_BASE64_A_STARTED_0,1203000,BASE64,A_STARTED,False,64,,False,False,,,,64,0,37,1.0,,TRANSPORT_STALL,"[""INVALID_ACTION_LOOP"",""PREMATURE_PLACE_OR_RELEASE"",""DETERMINISTIC_ACTION_CYCLE_OTHER""]"
TASK_ONLY,211,P2B_test_1203000_BASE64_B_STARTED_0,1203000,BASE64,B_STARTED,False,64,,False,False,,,,64,0,32,1.0,,TRANSPORT_STALL,"[""INVALID_ACTION_LOOP"",""DETERMINISTIC_ACTION_CYCLE_OTHER""]"
TASK_ONLY,211,P2B_test_1203000_BASE64_A_VALID_B_LOSS_0,1203000,BASE64,A_VALID_B_LOSS,False,64,A,True,False,,,,64,0,64,1.0,,ONE_OBJECT_ONLY_TIMEOUT,"[""TRANSPORT_STALL"",""INVALID_ACTION_LOOP"",""DETERMINISTIC_ACTION_CYCLE_OTHER""]"
TASK_ONLY,211,P2B_test_1203000_BASE64_B_VALID_A_LOSS_0,1203000,BASE64,B_VALID_A_LOSS,False,64,B,False,True,,,,64,0,64,1.0,,ONE_OBJECT_ONLY_TIMEOUT,"[""TRANSPORT_STALL"",""INVALID_ACTION_LOOP"",""PREMATURE_PLACE_OR_RELEASE"",""DETERMINISTIC_ACTION_CYCLE_OTHER""]"
TASK_ONLY,211,P2B_test_1203000_BASE64_INVALIDATE_FIRST_0,1203000,BASE64,INVALIDATE_FIRST,False,64,,False,False,,,,64,0,64,1.0,,NO_ACQUIRE_PROGRESS,"[""INVALID_ACTION_LOOP"",""DETERMINISTIC_ACTION_CYCLE_OTHER""]"
TASK_ONLY,211,P2B_test_1203000_BASE64_LATE_LOSS_0,1203000,BASE64,LATE_LOSS,False,64,,False,False,,,,64,0,64,1.0,,NO_ACQUIRE_PROGRESS,"[""INVALID_ACTION_LOOP"",""DETERMINISTIC_ACTION_CYCLE_OTHER""]"
TASK_ONLY,211,P2B_test_1203000_BASE64_TWO_LOSSES_0,1203000,BASE64,TWO_LOSSES,False,64,,False,False,,,,64,0,64,1.0,,NO_ACQUIRE_PROGRESS,"[""INVALID_ACTION_LOOP"",""DETERMINISTIC_ACTION_CYCLE_OTHER""]"
TASK_ONLY,211,P2B_test_1203000_LONG_CHAIN128_FREE_ORDER_0,1203000,LONG_CHAIN128,FREE_ORDER,False,128,,False,False,,,,128,0,128,1.0,,NO_ACQUIRE_PROGRESS,"[""INVALID_ACTION_LOOP"",""DETERMINISTIC_ACTION_CYCLE_OTHER""]"
TASK_ONLY,211,P2B_test_1203000_LONG_CHAIN128_A_STARTED_0,1203000,LONG_CHAIN128,A_STARTED,False,128,,False,False,,,,128,0,74,1.0,,TRANSPORT_STALL,"[""INVALID_ACTION_LOOP"",""PREMATURE_PLACE_OR_RELEASE"",""DETERMINISTIC_ACTION_CYCLE_OTHER""]"
